time, frame_t_ms, gc_mem_mb, system_mem_mb, audio_frame_t_ms, audio_memory_mb, sources
45.80391,5.1576,199.6523,1015.051,0.5353,1.815138,2
47.40461,5.5856,199.6523,1015.051,0.5335,1.815138,2
48.60188,6.2295,199.6523,1015.051,0.6858,1.815138,2
49.40263,5.0512,199.6523,1015.051,1.0793,1.815138,2
49.60321,5.9435,199.6523,1015.051,0.1355,1.815138,2
51.00356,5.8225,199.6523,1015.055,0.3176,1.812122,1
51.80458,5.2524,199.6523,1015.055,0.3402,1.812122,1
52.40078,5.4441,199.6523,1015.055,0.3477,1.812122,1
53.00099,5.9214,199.6523,1015.055,0.3326,1.812122,1
54.60416,5.5366,199.6523,1015.055,0.3446,1.812122,1
55.80115,6.004,199.6523,1015.055,0.2031,1.809107,0
56.00236,5.7657,199.6523,1015.055,0,1.809107,0
56.20173,6.0931,199.6523,1015.055,0,1.809107,0
56.40413,5.6744,199.6523,1015.055,0,1.809107,0
56.60146,5.5534,199.6523,1015.055,0.0954,1.809107,0
