time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
43.00117,4.9384,258.5781,1030.359,0.4202,1.892155,1
43.20121,4.707,258.5781,1030.367,0.4342,1.892155,1
43.40421,5.1565,258.5781,1030.371,0.4263,1.892155,1
43.60351,5.368,258.5781,1030.375,0.4229,1.892155,1
43.80424,4.732,258.5781,1030.379,0.4139,1.892155,1
45.00116,4.6258,258.5781,1030.414,1.0794,1.89517,2
45.20364,5.3842,258.5781,1030.418,0.6615,1.89517,2
45.40118,4.7845,258.5781,1030.422,0.6509,1.89517,2
45.60201,5.1753,258.5781,1030.426,0.7123,1.89517,2
45.80424,5.2822,258.5781,1030.43,0.7111,1.89517,2
47.00215,5.2303,258.5781,1030.461,0.94,1.898186,3
47.202,4.8617,258.5781,1030.461,1.044,1.898186,3
47.40339,4.7938,258.5781,1030.465,1.085,1.898186,3
47.60291,5.4051,258.5781,1030.469,1.3298,1.898186,3
47.80237,5.1247,258.5781,1030.48,0.9889,1.898186,3
49.0028,5.5456,258.5781,1030.508,1.3779,1.901201,4
49.20426,4.7874,258.5781,1030.508,1.3535,1.901201,4
49.40007,4.6439,258.5781,1030.512,2.2769,1.901201,4
49.60232,5.4376,258.5781,1030.52,1.2925,1.901201,4
49.80295,4.6798,258.5781,1030.523,1.3807,1.901201,4
51.00002,4.7909,258.5781,1030.723,1.9211,1.904217,5
51.20357,4.9037,258.5781,1030.766,1.7347,1.904217,5
51.40415,5.1085,258.5781,1030.809,1.7271,1.904217,5
51.60517,5.5019,258.5781,1030.816,1.6546,1.904217,5
51.80353,5.0142,258.5781,1030.828,1.9423,1.904217,5
53.00143,7.7203,258.5781,1031.047,3.0328,1.907232,6
53.20084,7.8472,258.5781,1031.055,6.3822,1.907232,6
53.4001,7.4879,258.5781,1031.063,2.8295,1.907232,6
53.60083,7.873,258.5781,1031.066,3.0511,1.907232,6
53.80951,10.1006,258.5781,1031.066,4.7295,1.907232,6
55.00402,5.0896,258.5781,1031.285,2.5138,1.910248,7
55.20344,4.8394,258.5781,1031.293,2.4592,1.910248,7
55.40512,5.7548,258.5781,1031.359,2.9603,1.910248,7
55.60197,5.0356,258.5781,1031.359,2.5087,1.910248,7
55.80185,4.5476,258.5781,1031.359,2.5832,1.910248,7
57.00426,4.8849,258.5781,1031.59,2.5596,1.913263,8
57.20104,4.9588,258.5781,1031.598,2.971,1.913263,8
57.40528,5.3696,258.5781,1031.598,2.5974,1.913263,8
57.60374,5.3657,258.5781,1031.598,2.6462,1.913263,8
57.80327,5.7008,258.5781,1031.598,2.6789,1.913263,8
59.00581,8.6114,258.5781,1031.734,4.4456,1.916279,9
59.20346,9.4504,258.5781,1031.742,5.1447,1.916279,9
59.40111,7.6758,258.5781,1031.742,4.6524,1.916279,9
59.60011,8.0829,258.5781,1031.742,4.5374,1.916279,9
59.80536,9.1668,258.5781,1031.742,4.5383,1.916279,9
61.00548,5.4855,258.5781,1031.902,3.3083,1.919294,10
61.20052,5.1655,258.5781,1031.906,3.6825,1.919294,10
61.4021,5.5892,258.5781,1031.91,3.3777,1.919294,10
61.60091,5.28,258.5781,1031.91,3.4483,1.919294,10
61.80384,4.863,258.5781,1031.91,3.6744,1.919294,10
