time, frame_t_ms, gc_mem_mb, system_mem_mb, audio_frame_t_ms, audio_memory_mb, sources
15.40446,5.5165,199.6523,977.0195,1.2626,1.469576,2
16.00366,5.6648,199.6523,977.0195,0.6519,1.469576,2
16.20492,5.5899,199.6523,977.0195,1.2465,1.469576,2
16.80202,7.009,199.6523,977.0195,2.4006,1.469576,2
17.00469,5.7048,199.6523,977.0195,0.995,1.469576,2
18.60414,5.6397,199.6523,977.0195,0.6112,1.46656,1
19.40068,6.0587,199.6523,977.0195,1.2705,1.46656,1
19.60206,5.573,199.6523,977.0195,0.6397,1.46656,1
20.40396,5.7638,199.6523,977.0195,0.6433,1.46656,1
21.00332,5.5896,199.6523,977.0195,0.6213,1.46656,1
22.20419,5.5542,199.6523,977.0195,0,1.463545,0
22.40344,5.5245,199.6523,977.0195,0,1.463545,0
22.60424,5.4076,199.6523,977.0195,0,1.463545,0
22.80538,5.7535,199.6523,977.0195,0,1.463545,0
23.00001,5.2316,199.6523,977.0195,0,1.463545,0
