time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
247.2035,11.208,259.7422,906.0938,0.8403,1.863075,9
247.6059,7.1107,259.7422,906.1016,4.4546,1.863075,9
247.803,7.2486,259.7422,906.1016,1.8095,1.863075,9
248.0064,7.4154,259.7422,906.1094,2.9705,1.863075,9
248.2013,10.8494,259.7422,906.1094,8.4186,1.863075,9
249.4014,7.6686,259.7422,906.1172,0.5089,1.86006,8
249.6122,19.3528,259.7422,906.1172,7.559,1.86006,8
249.8148,20.6771,259.7422,906.1172,9.0142,1.86006,8
250.0155,16.8149,259.7422,906.125,14.0705,1.86006,8
250.2034,5.4167,259.7422,906.125,3.6391,1.86006,8
251.4004,21.2253,259.7422,906.207,7.3003,1.857044,7
251.602,11.6257,259.7422,906.207,6.777,1.857044,7
251.8092,13.1094,259.7422,906.207,9.5048,1.857044,7
252.4037,5.6619,259.7422,906.2148,4.3166,1.857044,7
253.0007,6.1567,259.7422,906.2227,1.9977,1.857044,7
254.2099,14.1472,259.7422,906.2383,3.5689,1.854029,6
254.4059,10.1346,259.7422,906.2383,5.7603,1.854029,6
254.8005,10.4401,259.7422,906.2031,9.0271,1.854029,6
255.0006,11.8253,259.7422,906.2031,5.4216,1.854029,6
255.21,12.4601,259.7422,906.2031,10.6074,1.854029,6
256.8025,5.7115,259.7422,906.2188,3.8529,1.851013,5
257.0041,6.4364,259.7422,906.2188,0.1935,1.851013,5
257.6101,11.2296,259.7422,906.2266,3.595,1.851013,5
258.0116,15.0664,259.7422,906.2344,3.6453,1.851013,5
258.404,7.4813,259.7422,906.2344,3.3839,1.851013,5
260.0012,6.0094,259.7422,906.2578,2.3924,1.847998,4
260.2076,9.864799,259.7422,906.2578,1.6533,1.847998,4
260.401,9.2547,259.7422,906.2578,3.9794,1.847998,4
260.6059,8.8607,259.7422,906.2656,2.6524,1.847998,4
260.8099,13.8488,259.7422,906.2656,9.8362,1.847998,4
262.0059,19.254,259.7422,906.2852,3.3368,1.844982,3
262.2089,10.3885,259.7422,906.2852,2.4644,1.844982,3
263.205,7.2297,259.7422,906.3008,1.7243,1.844982,3
263.8092,11.8768,259.7422,906.3008,2.7041,1.844982,3
264,13.4554,259.7422,906.3086,4.3887,1.844982,3
265.2013,4.9138,259.7422,906.3242,1.2378,1.841967,2
265.8041,6.1433,259.7422,906.332,1.6708,1.841967,2
266.0042,6.7671,259.7422,906.332,0.9285,1.841967,2
266.8167,18.0856,259.7422,906.3398,5.196,1.841967,2
267.4034,7.7201,259.7422,906.3477,1.7912,1.841967,2
269.0005,6.623,259.7422,906.3633,0.6471,1.838951,1
269.6061,14.876,259.7422,906.3672,3.9233,1.838951,1
269.8008,16.7261,259.7422,906.3711,1.5352,1.838951,1
270.2031,14.1882,259.7422,906.3711,0.9141,1.838951,1
270.601,5.4174,259.7422,906.3789,0.411,1.838951,1
271.8019,8.3265,259.7422,906.3984,0,1.835936,0
272.0035,6.5898,259.7422,906.4063,0,1.835936,0
272.2028,5.2636,259.7422,906.4219,0,1.835936,0
272.4044,8.9334,259.7422,906.4258,0,1.835936,0
272.6059,12.0156,259.7422,906.4297,0,1.835936,0
