time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
462.2035,5.1422,111.9297,1010.449,3.9072,1.908459,9
462.8022,5.2772,111.9297,1010.449,3.9235,1.908459,9
463.6003,5.4988,111.9297,1010.449,2.6942,1.908459,9
463.8038,4.8854,111.9297,1010.449,0.3551,1.908459,9
464.6026,4.9839,111.9297,1010.449,2.1777,1.908459,9
465.8019,5.4863,111.9297,1010.449,0.1819,1.905443,8
466.6002,5.4769,111.9297,1010.449,3.6544,1.905443,8
466.8015,4.9685,111.9297,1010.449,0.7537,1.905443,8
468.2038,5.0886,111.9297,1010.449,2.1585,1.905443,8
468.8021,5.483,111.9297,1010.449,3.649,1.905443,8
470.0045,5.5679,111.9297,1010.461,2.2946,1.902428,7
470.8044,5.4925,111.9297,1010.461,3.2277,1.902428,7
471.0056,6.1723,111.9297,1010.461,0.5085,1.902428,7
471.4016,5.7591,111.9297,1010.461,2.9527,1.902428,7
471.6035,5.2833,111.9297,1010.461,0.5977,1.902428,7
473.6027,5.4778,111.9297,1010.461,2.6271,1.899412,6
474.2017,5.5972,111.9297,1010.461,2.6011,1.899412,6
475.4033,5.15,111.9297,1010.461,0.3011,1.899412,6
476.0003,5.1149,111.9297,1010.461,2.6872,1.899412,6
476.2024,5.3712,111.9297,1010.461,1.7148,1.899412,6
477.8027,5.6116,111.9297,1010.461,2.5005,1.896397,5
478.0022,5.2186,111.9297,1010.461,0.1229,1.896397,5
478.6039,5.5609,111.9297,1010.461,2.323,1.896397,5
478.8065,6.5649,111.9297,1010.461,2.3332,1.896397,5
480.6035,5.3821,111.9297,1010.461,2.3745,1.896397,5
483.0006,5.1842,111.9297,1010.461,1.9474,1.893381,4
483.601,5.4356,111.9297,1010.461,1.8727,1.893381,4
483.801,5.6303,111.9297,1010.461,1.8891,1.893381,4
484.6014,5.6928,111.9297,1010.461,2.3999,1.893381,4
484.8048,5.5331,111.9297,1010.461,1.9924,1.893381,4
486.6017,5.0608,111.9297,1010.461,1.566,1.890366,3
486.8031,4.9867,111.9297,1010.461,0.046,1.890366,3
488.6024,5.4253,111.9297,1010.461,0.4321,1.890366,3
489.2028,5.2917,111.9297,1010.461,1.5584,1.890366,3
490.0037,5.101,111.9297,1010.461,1.5944,1.890366,3
492.2006,6.3164,111.9297,1010.461,1.1848,1.88735,2
492.403,5.8422,111.9297,1010.461,0.0763,1.88735,2
493.205,6.0918,111.9297,1010.461,1.1871,1.88735,2
494.0025,5.8361,111.9297,1010.461,0.0024,1.88735,2
496.2015,5.5303,111.9297,1010.461,1.1733,1.88735,2
497.8034,5.2093,111.9297,1010.461,0.8351,1.884335,1
499.4023,5.2463,111.9297,1010.461,0.6346,1.884335,1
500.2006,5.2345,111.9297,1010.461,0.188,1.884335,1
501.0011,5.5546,111.9297,1010.461,0.0111,1.884335,1
501.8047,5.1038,111.9297,1010.461,0.9326,1.884335,1
503.0004,5.5957,111.9297,1010.461,0,1.881319,0
503.2029,5.0899,111.9297,1010.461,0,1.881319,0
503.4048,5.5039,111.9297,1010.461,0,1.881319,0
503.6042,4.9827,111.9297,1010.461,0,1.881319,0
503.8013,5.3758,111.9297,1010.461,0,1.881319,0
