time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
60.20167,5.9975,259.7422,820.2969,0.6937,1.752068,1
60.60429,18.6766,259.7422,820.3203,0.9519,1.752068,1
60.80381,7.3322,259.7422,820.332,0.6975,1.752068,1
61.0032,7.296,259.7422,820.3359,0.1656,1.752068,1
61.60046,6.4438,259.7422,820.3555,0.6767,1.752068,1
62.80245,11.791,259.7422,822.0625,1.5739,1.757311,2
63.00392,11.623,259.7422,822.0664,2.2278,1.757311,2
63.20829,14.2131,259.7422,822.0703,1.8984,1.757311,2
63.60235,14.416,259.7422,822.082,1.7708,1.757311,2
63.80621,12.9248,259.7422,822.0898,1.7395,1.757311,2
66.00097,6.434,259.7422,823.5898,1.8703,1.762554,3
66.20409,5.9894,259.7422,823.6055,2.2212,1.762554,3
66.80157,7.4325,259.7422,823.6289,2.5562,1.762554,3
67.00679,7.197,259.7422,823.6367,2.0388,1.762554,3
67.60224,7.9539,259.7422,823.6602,1.9127,1.762554,3
69.00761,18.3934,259.7422,825.6055,4.113,1.767797,4
69.20872,13.0368,259.7422,825.6055,4.7901,1.767797,4
69.60222,11.0991,259.7422,825.6133,3.7855,1.767797,4
70.00836,8.3884,259.7422,825.6289,6.3538,1.767797,4
70.21968,21.4776,259.7422,825.6289,3.7862,1.767797,4
71.40551,6.9265,259.7422,827.668,1.7324,1.773041,5
72.20189,6.0366,259.7422,827.707,0.256,1.773041,5
73.60307,6.3202,259.7422,827.7617,3.4764,1.773041,5
74.20045,5.9219,259.7422,827.7695,1.6866,1.773041,5
74.40066,11.2491,259.7422,827.7813,2.3811,1.773041,5
75.80918,10.8252,259.7422,829.7852,7.4881,1.778284,6
76.01541,17.63,259.7422,829.7891,6.9619,1.778284,6
76.20817,19.0273,259.7422,829.7969,3.0804,1.778284,6
76.41132,17.886,259.7422,829.8086,5.2916,1.778284,6
76.60879,14.6903,259.7422,829.8164,6.173,1.778284,6
78.40516,9.0408,259.7422,831.9219,3.156,1.783527,7
78.8003,7.0195,259.7422,831.9453,3.0115,1.783527,7
79.00201,6.7045,259.7422,831.9492,3.9833,1.783527,7
79.60049,5.3544,259.7422,831.9844,4.0771,1.783527,7
79.80438,7.3002,259.7422,831.9961,3.4275,1.783527,7
81.21495,15.7139,259.7422,833.9766,2.535,1.788771,8
81.40476,7.5822,259.7422,834.1016,3.858,1.788771,8
81.60904,9.5731,259.7422,834.1055,1.1383,1.788771,8
81.81136,11.7191,259.7422,834.1094,0.9688,1.788771,8
82.00533,12.2107,259.7422,834.1133,7.159,1.788771,8
83.21297,13.7894,259.7422,836.3281,7.2325,1.794014,9
83.41095,14.8957,259.7422,836.3398,2.3877,1.794014,9
83.60532,19.7579,259.7422,836.3438,7.9898,1.794014,9
83.80331,6.8854,259.7422,836.3555,4.1676,1.794014,9
84.00202,17.7493,259.7422,836.3711,5.8238,1.794014,9
85.40508,6.5456,259.7422,838.1602,4.5765,1.799257,10
85.60361,6.8905,259.7422,838.168,1.7961,1.799257,10
86.00055,5.912,259.7422,838.1836,1.1711,1.799257,10
86.20181,6.4001,259.7422,838.1914,5.7493,1.799257,10
86.40353,6.5139,259.7422,838.2031,2.4454,1.799257,10
