time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
790.2054,6.7085,111.9297,1014.082,4.6964,1.908459,9
790.8002,5.3277,111.9297,1014.082,4.8591,1.908459,9
791.0044,5.1063,111.9297,1014.082,1.7932,1.908459,9
791.4035,6.0197,111.9297,1014.082,4.4579,1.908459,9
791.8052,5.4563,111.9297,1014.082,3.4985,1.908459,9
793.2036,5.3252,111.9297,1014.082,4.2169,1.905443,8
794.2007,5.433,111.9297,1014.082,3.6419,1.905443,8
795.2034,5.1171,111.9297,1014.082,3.9774,1.905443,8
796.0027,5.5218,111.9297,1014.082,4.0427,1.905443,8
797.0061,8.455,111.9297,1014.082,6.4112,1.905443,8
798.6014,5.0963,111.9297,1014.082,3.6438,1.902428,7
799.4032,5.0124,111.9297,1014.082,3.661,1.902428,7
799.6028,5.1288,111.9297,1014.082,0.5434,1.902428,7
800.4006,5.9154,111.9297,1014.082,4.3854,1.902428,7
800.6043,5.1296,111.9297,1014.082,3.6624,1.902428,7
802.0005,5.949,111.9297,1014.082,3.4543,1.899412,6
802.2039,5.4674,111.9297,1014.082,3.3813,1.899412,6
803.006,6.1391,111.9297,1014.082,5.3274,1.899412,6
804.0016,4.8663,111.9297,1014.082,1.3583,1.899412,6
804.6013,5.1117,111.9297,1014.082,3.2688,1.899412,6
806.2032,5.642,111.9297,1014.082,2.8928,1.896397,5
807.2005,5.9259,111.9297,1014.082,0.3367,1.896397,5
807.4052,6.1838,111.9297,1014.082,0.0883,1.896397,5
807.801,8.0224,111.9297,1014.082,3.3699,1.896397,5
808.0048,5.9795,111.9297,1014.082,3.0236,1.896397,5
810.0054,5.8505,111.9297,1014.082,2.4025,1.893381,4
810.8017,7.2291,111.9297,1014.082,2.5191,1.893381,4
811.0042,5.7913,111.9297,1014.082,2.5527,1.893381,4
811.2054,5.5188,111.9297,1014.082,2.4243,1.893381,4
812.6021,8.7721,111.9297,1014.082,3.8979,1.893381,4
813.805,5.1649,111.9297,1014.082,0.792,1.890366,3
815.0013,5.3191,111.9297,1014.082,2.0697,1.890366,3
815.2031,6.0854,111.9297,1014.082,1.3917,1.890366,3
816.0039,5.5014,111.9297,1014.082,2.0977,1.890366,3
816.6023,8.5344,111.9297,1014.082,2.0811,1.890366,3
819.0015,5.0885,111.9297,1014.082,1.6765,1.88735,2
819.2067,8.5611,111.9297,1014.082,1.8153,1.88735,2
821.2061,6.1374,111.9297,1014.082,1.9516,1.88735,2
822.0007,6.0131,111.9297,1014.082,1.5604,1.88735,2
822.8064,6.4958,111.9297,1014.082,1.649,1.88735,2
824.6046,5.4371,111.9297,1014.082,1.3439,1.884335,1
825.2003,5.5432,111.9297,1014.082,1.3027,1.884335,1
826.0013,5.4488,111.9297,1014.082,1.2344,1.884335,1
827.0042,5.3127,111.9297,1014.082,1.0875,1.884335,1
827.6047,5.2752,111.9297,1014.082,1.2734,1.884335,1
828.8015,5.1624,111.9297,1014.082,0,1.881319,0
829.0004,5.1771,111.9297,1014.082,0.2027,1.881319,0
829.2011,5.1865,111.9297,1014.082,0,1.881319,0
829.4013,5.4398,111.9297,1014.082,0,1.881319,0
829.6053,5.7317,111.9297,1014.082,0,1.881319,0
