time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
112.2127,18.5793,115.8203,1090.824,3.5643,1.630852,9
112.4046,15.5692,115.8203,1090.824,5.464,1.630852,9
112.6148,19.094,115.8203,1090.832,5.5948,1.630852,9
112.8072,16.2324,115.8203,1090.832,1.8943,1.630852,9
113.0032,17.5387,115.8203,1090.832,5.7558,1.630852,9
114.2064,26.7095,115.8203,1090.855,5.3102,1.627836,8
114.4117,18.8017,115.8203,1090.855,3.5521,1.627836,8
114.6156,16.2783,115.8203,1090.863,0.6848,1.627836,8
114.8125,15.37,115.8203,1090.863,4.8293,1.627836,8
115.0049,16.4541,115.8203,1090.863,5.4651,1.627836,8
116.2119,15.9732,115.8203,1090.887,4.2204,1.624821,7
116.4094,18.0451,115.8203,1090.887,4.6872,1.624821,7
116.6139,15.307,115.8203,1090.895,4.4002,1.624821,7
116.8138,15.7594,115.8203,1090.895,1.4501,1.624821,7
117.0016,15.8079,115.8203,1090.902,4.3648,1.624821,7
118.2154,16.7227,115.8203,1090.918,3.9598,1.621805,6
118.6028,16.7941,115.8203,1090.926,3.9291,1.621805,6
119.0127,15.121,115.8203,1090.934,3.5955,1.621805,6
119.2042,16.4207,115.8203,1090.934,3.6233,1.621805,6
119.412,17.2577,115.8203,1090.941,3.69,1.621805,6
120.6141,22.836,115.8203,1090.957,5.425,1.61879,5
120.8057,24.9264,115.8203,1090.957,4.6663,1.61879,5
121.0076,26.3282,115.8203,1090.957,4.7102,1.61879,5
121.2222,25.6703,115.8203,1090.965,4.6654,1.61879,5
121.4127,18.1784,115.8203,1090.965,2.4589,1.61879,5
122.607,16.483,115.8203,1090.988,2.4927,1.615774,4
122.8144,15.6368,115.8203,1090.988,2.4824,1.615774,4
123.0104,16.5792,115.8203,1090.988,0.6469,1.615774,4
123.2026,19.6206,115.8203,1090.996,2.4645,1.615774,4
123.4073,16.5343,115.8203,1090.996,2.4244,1.615774,4
124.6051,16.9172,115.8203,1091.02,1.9755,1.612759,3
124.8061,16.3354,115.8203,1091.02,2.1971,1.612759,3
125.0095,15.5314,115.8203,1091.027,1.8142,1.612759,3
125.2139,14.9603,115.8203,1091.027,1.9019,1.612759,3
125.4011,15.1525,115.8203,1091.035,1.8423,1.612759,3
126.6121,15.191,115.8203,1091.051,1.2451,1.609743,2
126.812,14.2365,115.8203,1091.059,1.0953,1.609743,2
127.6022,15.1576,115.8203,1091.074,1.2235,1.609743,2
127.8036,15.0383,115.8203,1091.074,1.3156,1.609743,2
128.006,16.2771,115.8203,1091.082,1.3147,1.609743,2
129.4078,15.5959,115.8203,1091.105,0.6152,1.606728,1
129.6071,15.8779,115.8203,1091.105,0.8654,1.606728,1
129.8128,14.2274,115.8203,1091.113,0.6183,1.606728,1
130.0134,15.7263,115.8203,1091.113,0.5988,1.606728,1
130.2032,15.422,115.8203,1091.117,0.7029,1.606728,1
131.414,14.9089,115.8203,1091.145,0,1.603712,0
131.6093,14.4617,115.8203,1091.152,0,1.603712,0
131.8118,15.0182,115.8203,1091.152,0,1.603712,0
132.0109,15.6202,115.8203,1091.16,0,1.603712,0
132.2065,14.6018,115.8203,1091.16,0,1.603712,0
