time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
3.001309,3.2894,113.2227,912.375,0.0737,1.800593,0
3.200146,2.9869,113.2227,912.3789,0.0814,1.800593,0
3.400637,2.9237,113.2227,912.3789,0.0629,1.800593,0
3.601658,3.0765,113.2227,912.3789,0.0647,1.800593,0
3.800726,3.7756,113.2227,912.3789,0.0665,1.800593,0
4.001294,2.838,113.2227,912.3789,0.0681,1.800593,0
4.202739,2.9677,113.2227,912.3789,0.0756,1.800593,0
4.400057,2.9952,113.2227,912.3789,0.0627,1.800593,0
4.601945,2.6789,113.2227,912.3789,0.1641,1.800593,0
4.802039,2.9154,113.2227,912.3789,0.1712,1.800593,0
5.00138,3.0736,113.2227,912.3789,0.0632,1.800593,0
5.201494,3.0522,113.2227,912.3789,0.0705,1.800593,0
5.40028,3.4961,113.2227,912.3789,0.0532,1.800593,0
5.601664,1.8498,113.2227,912.3789,0.0536,1.800593,0
5.800081,1.8033,113.2227,912.3789,0.0622,1.800593,0
6.000473,1.93,113.2227,912.3789,0.0693,1.800593,0
6.200589,1.9143,113.2227,912.3789,0.075,1.800593,0
6.400403,1.8819,113.2227,912.3789,0.0463,1.800593,0
6.60044,1.9612,113.2227,912.3789,0.0439,1.800593,0
6.801898,1.9159,113.2227,912.3789,0.0467,1.800593,0
7.001269,1.9046,113.2227,912.3789,0.0466,1.800593,0
7.201736,1.923,113.2227,912.3789,0.0405,1.800593,0
7.400178,1.8537,113.2227,912.3789,0.045,1.800593,0
7.60049,1.8419,113.2227,912.3789,0.0452,1.800593,0
7.80076,1.8676,113.2227,912.3789,0.0547,1.800593,0
8.001286,1.9923,113.2227,912.3789,0.0478,1.800593,0
8.201052,1.8744,113.2227,912.3633,0.0451,1.800593,0
8.400152,1.8866,113.2227,911.2383,0.0735,1.800593,0
8.600928,1.8271,113.2227,911.2383,0.0466,1.800593,0
8.800515,1.805,113.2227,911.2383,0.0461,1.800593,0
