time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
3.001179,2.3725,113.2227,825.5313,0,1.724531,0
3.202936,3.215,113.2227,825.5391,0,1.724531,0
3.400948,2.7885,113.2227,825.5391,0,1.724531,0
3.601428,3.0223,113.2227,825.5391,0,1.724531,0
3.801036,3.2053,113.2227,825.5391,0,1.724531,0
4.000873,8.0787,113.2227,825.5391,0,1.724531,0
4.201116,3.2233,113.2227,825.543,0,1.724531,0
4.402406,2.732,113.2227,825.543,0,1.724531,0
4.602399,2.9514,113.2227,825.543,0,1.724531,0
4.801512,3.0177,113.2227,825.543,0,1.724531,0
5.002233,3.0575,113.2227,825.543,0,1.724531,0
5.201153,1.8269,113.2227,825.543,0,1.724531,0
5.401443,1.9008,113.2227,825.543,0,1.724531,0
5.601076,1.7777,113.2227,825.543,0,1.724531,0
5.801155,1.8168,113.2227,825.543,0,1.724531,0
6.001659,1.7661,113.2227,825.543,0,1.724531,0
6.201262,2.0033,113.2227,825.543,0,1.724531,0
6.40073,1.8616,113.2227,825.543,0,1.724531,0
6.601696,1.8816,113.2227,825.543,0,1.724531,0
6.800222,1.8559,113.2227,825.543,0,1.724531,0
7.001352,1.7379,113.2227,825.543,0,1.724531,0
7.203707,5.0761,113.2227,825.543,0,1.724531,0
7.401501,1.8127,113.2227,825.543,0,1.724531,0
7.601544,1.9392,113.2227,825.543,0,1.724531,0
7.80091,1.8877,113.2227,825.543,0,1.724531,0
8.001223,1.8128,113.2227,825.543,0,1.724531,0
8.201221,1.981,113.2227,825.543,0,1.724531,0
8.401911,1.9731,113.2227,825.543,0,1.724531,0
8.600657,1.739,113.2227,825.543,0,1.724531,0
8.801633,1.8795,113.2227,825.543,0,1.724531,0
12.00163,1.8552,113.2227,826.0391,0,1.726759,1
12.201,1.8046,113.2227,826.0391,0,1.726759,1
12.40151,1.8911,113.2227,826.0391,0,1.726759,1
12.60152,2.1868,113.2227,826.0391,0,1.726759,1
12.80025,1.8883,113.2227,826.0391,0,1.726759,1
13.00058,1.8018,113.2227,826.0391,0,1.726759,1
13.20061,1.8942,113.2227,826.0391,0,1.726759,1
13.40084,1.857,113.2227,826.0391,0,1.726759,1
13.60021,1.8819,113.2227,826.0391,0,1.726759,1
13.80082,1.9472,113.2227,826.0391,0,1.726759,1
14.00122,1.9054,113.2227,826.0391,0,1.726759,1
14.20043,1.7214,113.2227,826.0391,0,1.726759,1
14.40054,1.8274,113.2227,826.0391,0,1.726759,1
14.60111,1.7606,113.2227,826.0391,0,1.726759,1
14.80059,1.9017,113.2227,826.0391,0,1.726759,1
15.00074,1.8202,113.2227,826.0391,0,1.726759,1
15.20099,1.8381,113.2227,826.0391,0,1.726759,1
15.40031,1.7532,113.2227,826.0391,0,1.726759,1
15.60017,1.8107,113.2227,826.0391,0,1.726759,1
15.8006,1.8867,113.2227,826.0391,0,1.726759,1
16.00105,1.7772,113.2227,826.0391,0,1.726759,1
16.20081,1.8341,113.2227,826.0391,0,1.726759,1
16.40098,1.7498,113.2227,826.0391,0,1.726759,1
16.60011,1.8924,113.2227,826.0391,0,1.726759,1
16.80002,1.8146,113.2227,826.0391,0,1.726759,1
17.00319,5.1534,113.2227,826.0391,0,1.726759,1
17.20102,1.7692,113.2227,826.0391,0,1.726759,1
17.40165,1.8587,113.2227,826.0391,0,1.726759,1
17.60076,1.8006,113.2227,826.0391,0,1.726759,1
17.80137,2.0287,113.2227,826.0391,0,1.726759,1
21.00119,1.7749,113.2227,826.043,0,1.728987,2
21.20129,1.8806,113.2227,826.043,0,1.728987,2
21.40177,1.8402,113.2227,826.043,0,1.728987,2
21.6002,1.8475,113.2227,826.043,0,1.728987,2
21.80083,2.0513,113.2227,826.043,0,1.728987,2
22.00022,1.9274,113.2227,826.043,0,1.728987,2
22.20088,1.85,113.2227,826.043,0,1.728987,2
22.40114,1.8373,113.2227,826.043,0,1.728987,2
22.60111,1.8726,113.2227,826.043,0,1.728987,2
22.80108,2.0348,113.2227,826.043,0,1.728987,2
23.0001,1.9136,113.2227,826.043,0,1.728987,2
23.20154,1.9027,113.2227,826.043,0,1.728987,2
23.40061,1.8629,113.2227,826.043,0,1.728987,2
23.60074,1.9117,113.2227,826.043,0,1.728987,2
23.80079,1.9754,113.2227,826.043,0,1.728987,2
24.00076,1.9384,113.2227,826.043,0,1.728987,2
24.20182,2.0477,113.2227,826.043,0,1.728987,2
24.40012,2.0255,113.2227,826.043,0,1.728987,2
24.60086,2.4142,113.2227,826.043,0,1.728987,2
24.8017,1.7977,113.2227,826.043,0,1.728987,2
25.00015,2.3507,113.2227,826.043,0,1.728987,2
25.20108,2.2148,113.2227,826.043,0,1.728987,2
25.40043,1.9145,113.2227,826.043,0,1.728987,2
25.60127,1.9963,113.2227,826.043,0,1.728987,2
25.80094,2.2997,113.2227,826.0664,0,1.728987,2
26.00352,2.0292,113.2227,826.1211,0,1.728987,2
26.20215,2.2786,113.2227,826.1211,0,1.728987,2
26.40127,2.2478,113.2227,826.1211,0,1.728987,2
26.60141,2.537,113.2227,826.1211,0,1.728987,2
26.80203,1.9533,113.2227,826.1211,0,1.728987,2
30.00047,1.8536,113.2227,827.7578,0,1.731215,3
30.20129,1.8663,113.2227,827.7578,0,1.731215,3
30.40074,1.8094,113.2227,827.7578,0,1.731215,3
30.60131,1.8776,113.2227,827.7578,0,1.731215,3
30.80054,2.028,113.2227,827.7578,0,1.731215,3
31.00025,1.8203,113.2227,827.7578,0,1.731215,3
31.20164,1.7976,113.2227,827.7578,0,1.731215,3
31.40026,1.8732,113.2227,827.7578,0,1.731215,3
31.60172,1.9049,113.2227,827.7578,0,1.731215,3
31.80092,1.8177,113.2227,827.7578,0,1.731215,3
32.00091,1.9209,113.2227,827.7578,0,1.731215,3
32.20063,1.8331,113.2227,827.7578,0,1.731215,3
32.40129,1.8858,113.2227,827.7578,0,1.731215,3
32.60144,1.9132,113.2227,827.7578,0,1.731215,3
32.80136,1.8599,113.2227,827.7578,0,1.731215,3
33.00102,1.8333,113.2227,827.7656,0,1.731215,3
33.20191,1.9084,113.2227,827.7695,0,1.731215,3
33.40186,1.8055,113.2227,827.7695,0,1.731215,3
33.60077,1.8946,113.2227,827.7773,0,1.731215,3
33.8009,1.9331,113.2227,827.7773,0,1.731215,3
34.00191,1.8696,113.2227,827.7852,0,1.731215,3
34.20069,1.7854,113.2227,827.7852,0,1.731215,3
34.40061,1.8893,113.2227,827.793,0,1.731215,3
34.60138,1.7165,113.2227,827.8008,0,1.731215,3
34.80017,1.8899,113.2227,827.8008,0,1.731215,3
35.00026,1.8455,113.2227,827.8086,0,1.731215,3
