time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
3.000234,2.8502,113.2227,1023.742,0.0452,1.800593,0
3.201016,1.8447,113.2227,1023.746,0.0427,1.800593,0
3.401717,1.8459,113.2227,1023.746,0.043,1.800593,0
3.602058,2.2211,113.2227,1023.75,0.0453,1.800593,0
3.802343,2.2688,113.2227,1023.75,0.0468,1.800593,0
4.000701,2.2042,113.2227,1023.75,0.0445,1.800593,0
4.201856,2.1223,113.2227,1023.75,0.0578,1.800593,0
4.400419,1.8625,113.2227,1023.75,0.0532,1.800593,0
4.60191,2.0932,113.2227,1023.75,0.0447,1.800593,0
4.801728,2.2296,113.2227,1023.75,0.0614,1.800593,0
5.001076,1.9461,113.2227,1023.75,0.0483,1.800593,0
5.201364,1.8746,113.2227,1023.75,0.0563,1.800593,0
5.402075,2.2638,113.2227,1023.75,0.0716,1.800593,0
5.600003,1.9892,113.2227,1023.742,0.0449,1.800593,0
5.801295,1.9658,113.2227,1023.742,0.0757,1.800593,0
6.000657,2.2586,113.2227,1023.742,0.0441,1.800593,0
6.200581,1.8951,113.2227,1023.742,0.0472,1.800593,0
6.400257,2.353,113.2227,1023.742,0.0457,1.800593,0
6.601702,1.9772,113.2227,1023.742,0.0464,1.800593,0
6.800373,1.8892,113.2227,1023.742,0.0431,1.800593,0
7.000004,2.2485,113.2227,1023.742,0.0867,1.800593,0
7.200126,2.0887,113.2227,1023.742,0.0439,1.800593,0
7.400811,1.7742,113.2227,1023.742,0.0791,1.800593,0
7.600782,2.0755,113.2227,1023.742,0.0437,1.800593,0
7.800394,2.2578,113.2227,1023.742,0.0446,1.800593,0
8.001024,1.9488,113.2227,1023.742,0.0577,1.800593,0
8.201503,2.0627,113.2227,1023.742,0.0736,1.800593,0
8.401753,1.9054,113.2227,1023.742,0.048,1.800593,0
8.600657,1.9298,113.2227,1023.742,0.0672,1.800593,0
8.800771,2.0954,113.2227,1023.742,0.0441,1.800593,0
12.00135,2.0654,113.2227,1023.793,0.0535,1.889139,1
12.20071,1.8473,113.2227,1023.793,0.055,1.889139,1
12.40071,2.1719,113.2227,1023.793,0.0545,1.889139,1
12.60029,2.0335,113.2227,1023.793,0.0541,1.889139,1
12.8001,1.8715,113.2227,1023.793,0.0569,1.889139,1
13.00183,3.3522,113.2227,1023.793,0.0776,1.889139,1
13.20133,4.7836,113.2227,1023.793,0.0813,1.889139,1
