time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
3.001788,3.3439,113.2227,858.1719,0,1.734117,0
3.201858,3.9787,113.2227,858.1758,0,1.734117,0
3.402253,2.9684,113.2227,858.1758,0,1.734117,0
3.603147,3.3001,113.2227,858.1758,0,1.734117,0
3.803396,3.4388,113.2227,858.1758,0,1.734117,0
4.004097,5.3684,113.2227,858.1758,0,1.734117,0
4.200956,3.3117,113.2227,858.1758,0,1.734117,0
4.403356,3.5879,113.2227,858.1758,0,1.734117,0
4.600888,2.8764,113.2227,858.1758,0,1.734117,0
4.800931,2.6382,113.2227,858.1758,0,1.734117,0
5.000874,2.9314,113.2227,858.1758,0,1.734117,0
5.200078,3.1601,113.2227,858.1758,0,1.734117,0
5.400148,5.0305,113.2227,858.1758,0,1.734117,0
5.604606,4.8082,113.2227,858.1133,0,1.734117,0
5.80059,2.1245,113.2227,858.1133,0,1.734117,0
6.001807,2.0641,113.2227,858.1133,0,1.734117,0
6.201064,2.0766,113.2227,858.1133,0,1.734117,0
6.400228,1.7559,113.2227,858.1133,0,1.734117,0
6.600401,1.9582,113.2227,858.1133,0,1.734117,0
6.800918,1.8758,113.2227,858.1133,0,1.734117,0
7.000585,1.9451,113.2227,858.1172,0,1.734117,0
7.201611,2.0729,113.2227,858.1172,0,1.734117,0
7.400009,2.312,113.2227,858.1172,0,1.734117,0
7.600205,1.8371,113.2227,858.1172,0,1.734117,0
7.801873,1.9037,113.2227,858.1172,0,1.734117,0
8.000713,1.8359,113.2227,858.1172,0,1.734117,0
8.201626,2.1384,113.2227,858.1172,0,1.734117,0
8.400225,2.0407,113.2227,858.125,0,1.734117,0
8.601842,1.8473,113.2227,858.125,0,1.734117,0
8.800126,1.8305,113.2227,858.125,0,1.734117,0
12.00147,1.8277,113.2227,858.625,0,1.736344,1
12.20001,2.3085,113.2227,858.625,0,1.736344,1
12.40186,2.1361,113.2227,858.6406,0,1.736344,1
12.60067,2.1498,113.2227,858.6406,0,1.736344,1
12.80155,1.8351,113.2227,858.6406,0,1.736344,1
13.00135,2.0238,113.2227,858.6406,0,1.736344,1
13.20001,1.9927,113.2227,858.6406,0,1.736344,1
13.40011,1.9535,113.2227,858.6406,0,1.736344,1
13.60164,1.9463,113.2227,858.6406,0,1.736344,1
13.80058,1.8227,113.2227,858.6406,0,1.736344,1
14.001,1.8763,113.2227,858.6406,0,1.736344,1
14.20026,1.8694,113.2227,858.6406,0,1.736344,1
14.40089,2.0009,113.2227,858.6406,0,1.736344,1
14.60014,2.027,113.2227,858.6406,0,1.736344,1
14.80129,1.8909,113.2227,858.6406,0,1.736344,1
15.0001,2.0248,113.2227,858.6406,0,1.736344,1
15.2006,1.9048,113.2227,858.6406,0,1.736344,1
15.40093,1.8795,113.2227,858.6406,0,1.736344,1
15.60156,1.9444,113.2227,858.6406,0,1.736344,1
15.80031,1.9586,113.2227,858.6484,0,1.736344,1
16.00088,1.8935,113.2227,858.6484,0,1.736344,1
16.20084,1.9214,113.2227,858.6484,0,1.736344,1
16.40024,1.9101,113.2227,858.6484,0,1.736344,1
16.60163,1.9348,113.2227,858.6484,0,1.736344,1
16.80014,2.0147,113.2227,858.6484,0,1.736344,1
17.0017,2.0292,113.2227,858.6484,0,1.736344,1
17.20002,1.8211,113.2227,858.6445,0,1.736344,1
17.40147,1.8339,113.2227,858.6445,0,1.736344,1
