time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
1.002563,2.788,111.8398,1132.898,0.0468,1.857851,0
1.20109,2.2098,111.8398,1132.902,0.0437,1.857851,0
1.401025,2.3591,111.8398,1132.902,0.0453,1.857851,0
1.602024,2.3286,111.8398,1132.902,0.0443,1.857851,0
1.800731,1.8731,111.8398,1132.902,0.0465,1.857851,0
2.001035,2.1248,111.8398,1132.902,0.037,1.857851,0
2.201587,3.5458,111.8398,1132.902,0.0718,1.857851,0
2.400526,3.2983,111.8398,1132.902,0.071,1.857851,0
2.601386,4.0834,111.8398,1132.805,0.0842,1.857851,0
2.801083,3.4968,111.8398,1132.805,0.0672,1.857851,0
3.000612,3.1166,111.8398,1132.805,0.0705,1.857851,0
3.202273,2.93,111.8398,1132.805,0.0662,1.857851,0
3.402519,3.403,111.8398,1132.715,0.0721,1.857851,0
3.601249,3.3348,111.8398,1132.715,0.06,1.857851,0
3.802201,3.4078,111.8398,1132.715,0.0715,1.857851,0
4.001595,3.4387,111.8398,1132.715,0.076,1.857851,0
4.201303,2.9718,111.8398,1132.715,0.0603,1.857851,0
4.400033,3.15,111.8398,1132.715,0.4779,1.857851,0
4.602445,3.6486,111.8398,1132.715,0.067,1.857851,0
4.801406,2.9923,111.8398,1132.715,0.0675,1.857851,0
5.000395,3.9163,111.8398,1132.715,0.0804,1.857851,0
5.2015,2.0721,111.8398,1132.715,0.0462,1.857851,0
5.401516,1.8338,111.8398,1132.715,0.0462,1.857851,0
5.601583,1.9036,111.8398,1132.684,0.0616,1.857851,0
5.800775,1.9244,111.8398,1132.559,0.0487,1.857851,0
6.001571,1.8862,111.8398,1132.559,0.0451,1.857851,0
6.201482,2.1008,111.8398,1132.559,0.0443,1.857851,0
6.401402,1.991,111.8398,1132.559,0.0444,1.857851,0
6.600607,1.8416,111.8398,1132.559,0.0479,1.857851,0
6.800478,2.3599,111.8398,1132.559,0.0475,1.857851,0
8.001632,2.0507,111.8398,1132.625,0.1855,1.892139,1
8.201921,1.9756,111.8398,1132.625,0.1849,1.892139,1
8.401289,2.0823,111.8398,1132.625,0.1792,1.892139,1
8.601308,2.0361,111.8398,1132.625,0.1732,1.892139,1
8.801771,2.1173,111.8398,1132.625,0.1842,1.892139,1
9.001841,1.8891,111.8398,1132.625,0.1833,1.892139,1
9.201397,2.1574,111.8398,1132.625,0.1858,1.892139,1
9.401335,2.0753,111.8398,1132.625,0.2031,1.892139,1
