time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
1.001932,3.1705,111.8398,1084.094,0,1.505606,0
1.201458,2.1212,111.8398,1084.102,0,1.505606,0
1.401819,2.1881,111.8398,1084.102,0,1.505606,0
1.601591,2.301,111.8398,1084.102,0,1.505606,0
1.800058,2.3147,111.8398,1084.102,0,1.505606,0
2.001648,2.1778,111.8398,1084.102,0,1.505606,0
2.20051,1.96,111.8398,1084.102,0,1.505606,0
2.400007,1.9288,111.8398,1084.102,0,1.505606,0
2.600013,1.8076,111.8398,1084.102,0,1.505606,0
2.801966,3.1066,111.8398,1083.727,0,1.505606,0
3.002164,3.3355,111.8398,1083.727,0,1.505606,0
3.205244,6.426,111.8398,1083.727,0,1.505606,0
3.402978,3.3527,111.8398,1083.727,0,1.505606,0
3.603038,3.3191,111.8398,1083.727,0,1.505606,0
3.801989,3.4283,111.8398,1083.711,0,1.505606,0
4.002691,2.7884,111.8398,1083.711,0,1.505606,0
4.200225,3.875,111.8398,1083.711,0,1.505606,0
4.401375,2.7994,111.8398,1083.711,0,1.505606,0
4.602277,2.9534,111.8398,1083.711,0,1.505606,0
4.800723,2.8999,111.8398,1083.711,0,1.505606,0
5.001145,2.7417,111.8398,1083.711,0,1.505606,0
5.201947,2.812,111.8398,1083.711,0,1.505606,0
5.402376,3.075,111.8398,1083.711,0,1.505606,0
5.601653,2.8739,111.8398,1083.711,0,1.505606,0
5.801453,1.9213,111.8398,1083.672,0,1.505606,0
6.001811,1.8294,111.8398,1083.672,0,1.505606,0
6.200904,1.8534,111.8398,1083.672,0,1.505606,0
6.401757,1.8441,111.8398,1083.672,0,1.505606,0
6.601779,1.8489,111.8398,1083.672,0,1.505606,0
6.80162,1.9142,111.8398,1083.672,0,1.505606,0
8.00051,1.8941,111.8398,1086.098,0.7021,1.542122,1
8.201479,1.8967,111.8398,1086.098,0.7304,1.542122,1
8.400799,1.9163,111.8398,1086.098,0.5327,1.542122,1
8.602209,5.4663,111.8398,1086.098,0.6077,1.542122,1
8.800001,2.0755,111.8398,1086.098,0.5338,1.542122,1
9.001531,2.0324,111.8398,1086.098,0.7043,1.542122,1
9.201686,1.8581,111.8398,1086.098,0.7484,1.542122,1
9.40089,1.8516,111.8398,1086.098,0.7311,1.542122,1
9.60124,1.935,111.8398,1086.098,1.0326,1.542122,1
9.80002,1.9267,111.8398,1086.098,0.7091,1.542122,1
10.00105,2.0318,111.8398,1086.027,0.6919,1.542122,1
10.20055,2.0343,111.8398,1086.027,0.729,1.542122,1
10.40121,1.8668,111.8398,1086.027,0.5405,1.542122,1
10.60003,2.0777,111.8398,1086.027,0.536,1.542122,1
10.80169,2.0399,111.8398,1086.027,0.5384,1.542122,1
11.00168,1.9966,111.8398,1086.027,0.6848,1.542122,1
11.20155,1.9905,111.8398,1086.027,0.7161,1.542122,1
11.40137,1.9909,111.8398,1086.027,0.701,1.542122,1
11.60023,2.0012,111.8398,1086.027,0.7762,1.542122,1
11.80087,2.0865,111.8398,1086.027,0.6959,1.542122,1
12.00191,2.0272,111.8398,1086.027,1.1779,1.542122,1
12.20106,2.2733,111.8398,1086.027,0.6787,1.542122,1
12.40129,2.0489,111.8398,1086.027,0.5285,1.542122,1
12.60004,1.931,111.8398,1086.027,0.5299,1.542122,1
12.80138,2.0383,111.8398,1086.027,0.5673,1.542122,1
13.00022,2.0081,111.8398,1086.027,0.684,1.542122,1
13.20028,1.9616,111.8398,1086.027,0.7073,1.542122,1
13.40032,1.883,111.8398,1086.027,0.6795,1.542122,1
13.60131,1.9475,111.8398,1086.027,0.6987,1.542122,1
13.80014,2.2807,111.8398,1086.027,0.6978,1.542122,1
15.0014,2.0643,111.8398,1090.047,1.4274,1.547365,2
15.20013,1.8646,111.8398,1090.047,1.3531,1.547365,2
15.40002,2.0088,111.8398,1090.047,1.6365,1.547365,2
15.60062,1.8821,111.8398,1090.113,1.2087,1.547365,2
15.80104,1.9667,111.8398,1090.113,1.2277,1.547365,2
16.00051,1.9768,111.8398,1090.113,1.4127,1.547365,2
16.20086,1.9442,111.8398,1090.113,1.3086,1.547365,2
16.40006,1.9207,111.8398,1090.113,1.2048,1.547365,2
16.60098,1.821,111.8398,1090.113,1.2245,1.547365,2
16.80177,1.9643,111.8398,1090.113,1.2177,1.547365,2
17.00153,1.9437,111.8398,1090.113,1.4677,1.547365,2
17.2019,2.0508,111.8398,1090.113,1.4712,1.547365,2
17.40143,1.9928,111.8398,1090.113,1.2221,1.547365,2
17.60141,1.8343,111.8398,1090.113,1.4175,1.547365,2
17.80127,2.2403,111.8398,1090.113,1.2784,1.547365,2
18.0024,3.1427,111.8398,1090.113,1.9805,1.547365,2
18.20458,3.4337,111.8398,1090.113,2.0508,1.547365,2
18.40252,3.1159,111.8398,1090.113,1.7858,1.547365,2
18.60095,3.2658,111.8398,1090.113,1.791,1.547365,2
18.80125,3.016,111.8398,1090.113,1.7866,1.547365,2
19.00036,3.0629,111.8398,1090.113,2.0428,1.547365,2
19.20034,3.0054,111.8398,1090.113,2.1,1.547365,2
19.40206,2.8258,111.8398,1090.074,1.867,1.547365,2
19.60212,3.3955,111.8398,1090.074,1.7997,1.547365,2
19.80113,3.133,111.8398,1090.074,1.932,1.547365,2
20.00169,1.8837,111.8398,1090.074,1.3648,1.547365,2
20.20007,1.9377,111.8398,1090.074,1.6228,1.547365,2
20.40034,2.4791,111.8398,1090.074,1.2667,1.547365,2
20.60137,1.86,111.8398,1090.074,1.2255,1.547365,2
20.80172,1.9052,111.8398,1090.074,1.1987,1.547365,2
22.00191,1.9601,111.8398,1094.66,1.9841,1.552608,3
22.20151,1.9349,111.8398,1094.617,2.0623,1.552608,3
22.40139,1.8463,111.8398,1094.617,1.7548,1.552608,3
22.60095,1.9155,111.8398,1094.617,1.7173,1.552608,3
22.80101,1.9781,111.8398,1094.617,1.7927,1.552608,3
23.00058,1.9977,111.8398,1094.582,2.0147,1.552608,3
23.2012,1.9279,111.8398,1094.582,2.1967,1.552608,3
23.40141,1.8781,111.8398,1094.582,1.8277,1.552608,3
23.60102,1.8895,111.8398,1094.582,1.9172,1.552608,3
23.80005,1.9995,111.8398,1094.582,1.9476,1.552608,3
24.00175,1.8975,111.8398,1094.582,2.0314,1.552608,3
24.20029,1.9534,111.8398,1094.582,1.9845,1.552608,3
24.40139,2.1395,111.8398,1094.582,1.7621,1.552608,3
24.60083,2.1138,111.8398,1094.582,1.678,1.552608,3
24.80059,2.0611,111.8398,1094.582,1.8039,1.552608,3
25.00013,3.8832,111.8398,1094.582,3.1583,1.552608,3
25.20042,3.1617,111.8398,1094.582,3.7239,1.552608,3
25.40212,3.0196,111.8398,1094.582,2.9562,1.552608,3
25.60035,3.1465,111.8398,1094.582,2.9457,1.552608,3
25.80149,3.0591,111.8398,1094.582,2.8467,1.552608,3
26.00053,2.0213,111.8398,1094.582,2.0434,1.552608,3
26.20091,2.0518,111.8398,1094.582,2.7581,1.552608,3
26.40172,1.9388,111.8398,1094.582,1.7614,1.552608,3
26.60043,2.135,111.8398,1094.582,1.9612,1.552608,3
26.80147,1.801,111.8398,1094.582,1.675,1.552608,3
27.00024,2.2652,111.8398,1094.582,2.0455,1.552608,3
27.20117,1.9606,111.8398,1094.582,2.0252,1.552608,3
27.40002,1.9651,111.8398,1094.582,1.902,1.552608,3
27.60106,1.9402,111.8398,1094.582,1.8836,1.552608,3
27.80046,1.8624,111.8398,1094.582,1.8446,1.552608,3
29.00142,2.0707,111.8398,1100.082,2.7816,1.557852,4
29.20132,1.9547,111.8398,1100.082,3.1397,1.557852,4
29.40069,2.0313,111.8398,1100.082,2.385,1.557852,4
29.60189,1.9425,111.8398,1100.082,2.4558,1.557852,4
29.8013,1.9662,111.8398,1100.082,2.3727,1.557852,4
30.00173,1.9924,111.8398,1100.082,2.583,1.557852,4
30.20068,1.8472,111.8398,1100.082,2.6722,1.557852,4
30.40115,2.048,111.8398,1100.082,2.2904,1.557852,4
30.60027,2.0439,111.8398,1100.082,2.3644,1.557852,4
30.80056,1.9033,111.8398,1100.082,2.452,1.557852,4
31.00077,2.035,111.8398,1100.066,3.2992,1.557852,4
31.2011,1.993,111.8398,1100.066,2.7434,1.557852,4
31.40135,1.8541,111.8398,1100.066,2.3806,1.557852,4
31.60069,2.1026,111.8398,1100.066,2.3858,1.557852,4
31.80008,2.0381,111.8398,1100.066,2.6237,1.557852,4
32.00122,1.8769,111.8398,1100.066,2.7716,1.557852,4
32.20139,1.9178,111.8398,1100.066,3.1869,1.557852,4
32.40163,2.0186,111.8398,1100.066,2.4029,1.557852,4
32.60112,2.0466,111.8398,1100.066,2.3872,1.557852,4
32.80009,2.1722,111.8398,1100.066,2.3801,1.557852,4
33.00033,2.2492,111.8398,1100.016,2.7413,1.557852,4
33.20119,3.0226,111.8398,1100.016,4.0232,1.557852,4
33.40246,2.9297,111.8398,1100.016,3.5889,1.557852,4
33.6004,6.0325,111.8398,1100.031,3.4632,1.557852,4
33.80117,3.3171,111.8398,1100.031,3.6102,1.557852,4
34.00107,3.3705,111.8398,1100.031,4.322,1.557852,4
34.20006,3.4733,111.8398,1100.031,4.1044,1.557852,4
34.4021,3.711,111.8398,1100.031,3.533,1.557852,4
34.60188,3.1703,111.8398,1100.031,3.6855,1.557852,4
34.80162,3.2652,111.8398,1100.031,3.5087,1.557852,4
36.00157,2.0894,111.8398,1105.984,3.5328,1.563095,5
36.20114,1.8213,111.8398,1105.984,3.4263,1.563095,5
36.40191,2.0033,111.8398,1105.984,2.7882,1.563095,5
36.60084,2.0219,111.8398,1105.984,3.1768,1.563095,5
36.80028,1.9441,111.8398,1105.988,2.8579,1.563095,5
37.00211,2.1042,111.8398,1105.988,4.1341,1.563095,5
37.20038,1.9299,111.8398,1105.988,3.3364,1.563095,5
37.40034,1.8418,111.8398,1105.988,3.052,1.563095,5
37.60143,2.0309,111.8398,1105.988,2.9499,1.563095,5
37.80048,1.986,111.8398,1105.988,2.9898,1.563095,5
38.00187,1.8848,111.8398,1105.988,3.3378,1.563095,5
38.20072,1.8532,111.8398,1105.988,3.8366,1.563095,5
38.40067,1.9005,111.8398,1105.988,2.9091,1.563095,5
38.60116,2.0242,111.8398,1105.988,2.9777,1.563095,5
38.80096,1.832,111.8398,1105.988,2.8228,1.563095,5
39.00063,2.0918,111.8398,1105.988,3.7867,1.563095,5
39.2021,2.1274,111.8398,1105.988,3.2649,1.563095,5
39.40131,1.8995,111.8398,1105.988,3.2166,1.563095,5
39.60058,1.8226,111.8398,1105.988,3.1189,1.563095,5
39.80186,1.98,111.8398,1105.988,3.0739,1.563095,5
40.00151,2.0448,111.8398,1105.988,3.3009,1.563095,5
40.20132,3.1168,111.8398,1105.988,5.1543,1.563095,5
40.40248,2.997,111.8398,1105.988,4.5527,1.563095,5
40.60027,4.6202,111.8398,1105.988,4.1819,1.563095,5
40.80229,2.8149,111.8398,1105.988,4.3211,1.563095,5
41.00266,3.1765,111.8398,1105.988,5.0978,1.563095,5
41.20133,3.2897,111.8398,1105.988,4.9024,1.563095,5
41.40045,3.0161,111.8398,1105.988,5.009,1.563095,5
41.60156,3.2414,111.8398,1105.988,4.9547,1.563095,5
41.80222,6.5978,111.8398,1105.988,4.6583,1.563095,5
43.00083,2.1469,111.8398,1111.645,4.3619,1.568338,6
43.20143,1.886,111.8398,1111.645,3.935,1.568338,6
43.40109,1.9273,111.8398,1111.645,3.6636,1.568338,6
43.60165,1.9919,111.8398,1111.645,3.7081,1.568338,6
43.80142,1.9134,111.8398,1111.645,3.5647,1.568338,6
44.00105,2.0644,111.8398,1111.645,4.0043,1.568338,6
44.202,2.1597,111.8398,1111.645,4.4275,1.568338,6
44.40115,2.0131,111.8398,1111.645,3.5544,1.568338,6
44.60136,1.8995,111.8398,1111.645,3.8641,1.568338,6
44.80008,2.0919,111.8398,1111.645,3.7093,1.568338,6
45.00013,2.0451,111.8398,1111.645,4.4902,1.568338,6
45.20021,1.9026,111.8398,1111.645,4.0137,1.568338,6
45.40169,1.9394,111.8398,1111.645,3.9124,1.568338,6
45.60135,2.036,111.8398,1111.645,3.499,1.568338,6
45.80114,1.9872,111.8398,1111.645,3.6034,1.568338,6
46.0003,1.9349,111.8398,1111.645,4.1493,1.568338,6
46.20078,1.98,111.8398,1111.645,4.0124,1.568338,6
46.40163,1.9342,111.8398,1111.645,3.4944,1.568338,6
46.60056,1.9818,111.8398,1111.645,4.1854,1.568338,6
46.80119,1.947,111.8398,1111.645,3.5674,1.568338,6
47.00107,2.3193,111.8398,1111.645,4.4262,1.568338,6
47.20029,1.9769,111.8398,1111.645,3.9899,1.568338,6
47.40249,5.8261,111.8398,1111.645,6.7734,1.568338,6
47.60131,1.9858,111.8398,1111.645,3.5105,1.568338,6
47.80134,1.8735,111.8398,1111.645,3.5302,1.568338,6
48.00109,1.9054,111.8398,1111.645,4.0259,1.568338,6
48.20132,2.8412,111.8398,1111.645,6.1121,1.568338,6
48.40263,2.9166,111.8398,1111.645,5.2038,1.568338,6
48.60118,3.0412,111.8398,1111.645,5.1748,1.568338,6
48.80047,2.9583,111.8398,1111.645,5.3181,1.568338,6
50.0002,2.2239,111.8398,1117.543,4.6544,1.573582,7
50.20117,1.9159,111.8398,1117.543,4.9583,1.573582,7
50.4007,2.662,111.8398,1117.543,4.5169,1.573582,7
50.60035,1.8893,111.8398,1117.543,4.1342,1.573582,7
50.80059,2.02,111.8398,1117.543,4.1938,1.573582,7
51.0018,1.9467,111.8398,1117.543,6.3218,1.573582,7
51.20299,3.3771,111.8398,1117.543,6.3995,1.573582,7
51.40271,2.7401,111.8398,1117.543,6.3315,1.573582,7
51.60216,3.0126,111.8398,1117.543,6.4009,1.573582,7
51.80092,3.1251,111.8398,1117.543,6.4807,1.573582,7
52.00063,3.0122,111.8398,1117.543,7.1898,1.573582,7
52.20127,4.5739,111.8398,1117.543,7.0102,1.573582,7
52.40022,3.0832,111.8398,1117.543,5.8366,1.573582,7
52.60236,3.364,111.8398,1117.543,6.4539,1.573582,7
52.80135,2.9367,111.8398,1117.543,6.1782,1.573582,7
53.00129,3.8202,111.8398,1117.543,6.9532,1.573582,7
53.20231,3.5949,111.8398,1117.543,7.4431,1.573582,7
53.40181,1.9862,111.8398,1117.543,4.1998,1.573582,7
53.60088,1.8642,111.8398,1117.543,4.6347,1.573582,7
53.80011,2.1262,111.8398,1117.543,4.2456,1.573582,7
54.00144,1.8848,111.8398,1117.543,4.9835,1.573582,7
54.20093,1.8524,111.8398,1117.543,4.6521,1.573582,7
54.40142,2.0076,111.8398,1117.543,4.4766,1.573582,7
54.60121,2.0176,111.8398,1117.543,4.1118,1.573582,7
54.80079,2.0457,111.8398,1117.543,4.1243,1.573582,7
55.00162,1.9275,111.8398,1117.543,5.1028,1.573582,7
55.20092,2.0514,111.8398,1117.543,4.7569,1.573582,7
55.4027,3.2946,111.8398,1117.543,6.321,1.573582,7
55.60295,3.622,111.8398,1117.543,6.2114,1.573582,7
55.80093,4.333,111.8398,1117.543,6.301,1.573582,7
57.00135,2.0046,111.8398,1123.461,5.7424,1.578825,8
57.20046,1.9428,111.8398,1123.461,5.7208,1.578825,8
57.40248,2.8812,111.8398,1123.461,8.1725,1.578825,8
57.60244,3.3291,111.8398,1123.461,6.7427,1.578825,8
57.80181,2.937,111.8398,1123.461,7.3241,1.578825,8
58.00264,2.9834,111.8398,1123.461,7.9719,1.578825,8
58.20303,3.0395,111.8398,1123.461,8.2871,1.578825,8
58.40307,3.8486,111.8398,1123.461,7.3655,1.578825,8
58.60238,3.1473,111.8398,1123.461,6.911,1.578825,8
58.80274,3.2711,111.8398,1123.461,7.0918,1.578825,8
59.00068,3.1094,111.8398,1123.461,8.2208,1.578825,8
59.20206,3.0503,111.8398,1123.461,8.0879,1.578825,8
59.40009,2.0409,111.8398,1123.461,4.7215,1.578825,8
59.60044,1.9544,111.8398,1123.461,4.9234,1.578825,8
59.80024,1.9031,111.8398,1123.461,4.7381,1.578825,8
60.00037,1.9114,111.8398,1123.461,5.7956,1.578825,8
60.20035,1.885,111.8398,1123.461,5.2826,1.578825,8
60.40191,2.0115,111.8398,1123.461,4.8732,1.578825,8
60.60101,1.9863,111.8398,1123.461,4.7663,1.578825,8
60.80011,1.8842,111.8398,1123.461,5.1365,1.578825,8
61.00019,2.0401,111.8398,1123.461,5.9311,1.578825,8
61.20127,1.9106,111.8398,1123.461,5.5006,1.578825,8
61.40089,1.9159,111.8398,1123.461,4.7921,1.578825,8
61.60088,1.9182,111.8398,1123.461,4.7483,1.578825,8
61.80156,1.9801,111.8398,1123.461,4.5736,1.578825,8
62.00117,1.8671,111.8398,1123.461,5.462,1.578825,8
62.20182,1.8847,111.8398,1123.461,5.7102,1.578825,8
62.4008,2.1393,111.8398,1123.461,4.8395,1.578825,8
62.6006,1.7941,111.8398,1123.461,5.1547,1.578825,8
62.80162,1.9576,111.8398,1123.461,4.6018,1.578825,8
64.00094,3.3405,111.8398,1129.043,8.9008,1.584068,9
64.20287,3.0656,111.8398,1129.043,9.1732,1.584068,9
64.40044,2.947,111.8398,1129.043,8.0633,1.584068,9
64.60036,3.0084,111.8398,1129.043,10.1089,1.584068,9
64.80186,3.0617,111.8398,1129.043,7.9059,1.584068,9
65.00186,2.9486,111.8398,1129.043,9.1538,1.584068,9
65.20267,3.2461,111.8398,1129.043,9.1808,1.584068,9
65.40247,3.2965,111.8398,1129.043,8.3865,1.584068,9
65.60078,3.0459,111.8398,1129.043,8.1907,1.584068,9
65.80103,3.251,111.8398,1129.043,7.8996,1.584068,9
66.00276,3.0994,111.8398,1129.043,8.9832,1.584068,9
66.20208,3.532,111.8398,1129.043,8.9677,1.584068,9
66.40083,1.9012,111.8398,1129.043,5.3785,1.584068,9
66.6003,2.2084,111.8398,1129.043,5.3547,1.584068,9
66.80087,1.8542,111.8398,1129.043,5.2861,1.584068,9
67.00179,2.0094,111.8398,1129.043,6.6142,1.584068,9
67.20073,1.9243,111.8398,1129.043,5.9292,1.584068,9
67.40136,1.8713,111.8398,1129.043,5.9868,1.584068,9
67.6001,2.1129,111.8398,1129.043,5.2482,1.584068,9
67.80155,1.9412,111.8398,1129.043,5.2255,1.584068,9
68.00182,2.3144,111.8398,1129.043,5.9503,1.584068,9
68.20171,1.855,111.8398,1129.043,5.9964,1.584068,9
68.40131,1.8103,111.8398,1129.043,5.4056,1.584068,9
68.60049,1.8363,111.8398,1129.043,5.0594,1.584068,9
68.80164,1.9013,111.8398,1129.043,5.3122,1.584068,9
69.00071,2.0213,111.8398,1129.043,5.9548,1.584068,9
69.20187,1.8602,111.8398,1129.043,6.1044,1.584068,9
69.40184,1.9459,111.8398,1129.043,5.819,1.584068,9
69.6017,1.9882,111.8398,1129.043,5.4123,1.584068,9
69.80075,1.9128,111.8398,1129.043,5.5192,1.584068,9
71.00137,2.0453,111.8398,1135.004,6.8411,1.589312,10
71.20033,2.0136,111.8398,1135.004,7.2453,1.589312,10
71.4,1.941,111.8398,1135.004,6.0355,1.589312,10
71.40197,1.939,111.8398,1135.004,6.0355,1.589312,10
71.60172,2.0299,111.8398,1135.004,8.2977,1.589312,10
71.80177,1.9089,111.8398,1135.004,6.2635,1.589312,10
72.00155,2.0567,111.8398,1135.004,6.7115,1.589312,10
72.20111,1.8999,111.8398,1135.004,6.5653,1.589312,10
72.40108,1.993,111.8398,1135.004,6.3052,1.589312,10
72.60294,3.0284,111.8398,1135.004,8.8856,1.589312,10
72.80323,3.3018,111.8398,1135.004,8.6187,1.589312,10
73.00123,4.6529,111.8398,1135.004,10.0932,1.589312,10
73.20288,4.4404,111.8398,1135.004,10.0801,1.589312,10
73.40002,2.8666,111.8398,1135.004,9.0263,1.589312,10
73.6005,3.0605,111.8398,1135.004,9.0566,1.589312,10
73.80231,3.2411,111.8398,1135.004,8.6773,1.589312,10
74.00038,3.6223,111.8398,1135.004,9.9368,1.589312,10
74.20279,3.7491,111.8398,1135.004,11.8002,1.589312,10
74.40229,3.1627,111.8398,1135.004,8.7445,1.589312,10
