time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
1.000824,2.1165,113.2227,985.7617,0.0391,1.800593,0
1.202314,2.7194,113.2227,985.7695,0.0451,1.800593,0
1.403905,4.406,113.2227,985.7695,0.0655,1.800593,0
1.601416,3.2262,113.2227,985.7695,0.1639,1.800593,0
1.803015,4.1439,113.2227,985.7695,0.0668,1.800593,0
2.002334,3.0566,113.2227,985.7695,0.0617,1.800593,0
2.201619,3.486,113.2227,985.7695,0.1138,1.800593,0
2.402158,3.7315,113.2227,985.7695,0.0651,1.800593,0
2.600298,3.4143,113.2227,985.5195,0.0695,1.800593,0
2.801772,3.1142,113.2227,985.5195,0.0762,1.800593,0
3.002655,3.7535,113.2227,985.5195,0.0662,1.800593,0
3.201214,3.0831,113.2227,985.5195,0.0623,1.800593,0
3.401064,3.1173,113.2227,985.5195,0.3094,1.800593,0
3.600078,4.8871,113.2227,985.5195,0.0666,1.800593,0
3.800333,3.4457,113.2227,985.5195,0.0827,1.800593,0
4.002047,2.9173,113.2227,985.5195,0.0844,1.800593,0
4.202941,4.0054,113.2227,985.5195,0.0638,1.800593,0
4.400663,1.8396,113.2227,985.5195,0.0444,1.800593,0
4.600083,1.7753,113.2227,985.5195,0.0426,1.800593,0
4.800672,2.0046,113.2227,985.5195,0.0455,1.800593,0
5.000988,1.8659,113.2227,985.5195,0.0358,1.800593,0
5.201271,1.9735,113.2227,985.5195,0.0541,1.800593,0
5.401783,1.8939,113.2227,985.5195,0.0453,1.800593,0
5.601516,1.9311,113.2227,985.457,0.0462,1.800593,0
5.800731,2.1407,113.2227,985.457,0.0467,1.800593,0
6.001697,1.949,113.2227,985.457,0.0437,1.800593,0
6.200312,2.1262,113.2227,985.457,0.0457,1.800593,0
6.400362,1.9006,113.2227,985.457,0.0486,1.800593,0
6.601455,2.0164,113.2227,985.457,0.0666,1.800593,0
6.800893,1.9223,113.2227,985.457,0.0443,1.800593,0
8.000482,1.9507,113.2227,985.5273,0.3492,1.892155,1
8.200809,2.0699,113.2227,985.5273,0.234,1.892155,1
8.400887,2.2785,113.2227,985.5273,0.3385,1.892155,1
8.600892,2.0792,113.2227,985.5273,0.2222,1.892155,1
8.801043,1.9336,113.2227,985.5273,0.2374,1.892155,1
9.000897,2.2956,113.2227,985.5273,0.2245,1.892155,1
9.2007,1.8519,113.2227,985.5273,0.2315,1.892155,1
9.40179,1.8995,113.2227,985.5273,0.226,1.892155,1
9.600421,2.0401,113.2227,985.5273,0.2275,1.892155,1
9.80083,2.0632,113.2227,985.5273,0.2249,1.892155,1
10.0015,1.8882,113.2227,985.5273,0.2172,1.892155,1
10.20162,2.5505,113.2227,985.5273,0.2245,1.892155,1
10.40176,2.4775,113.2227,985.5273,0.3492,1.892155,1
10.60214,4.7282,113.2227,985.5273,0.341,1.892155,1
10.80035,5.4671,113.2227,985.5273,0.334,1.892155,1
11.00244,3.4599,113.2227,985.5273,0.3213,1.892155,1
11.20255,2.8832,113.2227,985.5273,0.3161,1.892155,1
11.40193,2.827,113.2227,985.5273,0.8421,1.892155,1
11.60191,1.9283,113.2227,985.5273,0.2449,1.892155,1
11.80177,1.915,113.2227,985.5273,0.2362,1.892155,1
12.00038,2.26,113.2227,985.5273,0.2526,1.892155,1
12.2003,2.2774,113.2227,985.5273,0.2402,1.892155,1
12.40017,1.9277,113.2227,985.5273,0.231,1.892155,1
12.60047,1.9583,113.2227,985.5273,0.2457,1.892155,1
12.80207,2.0703,113.2227,985.5273,0.2585,1.892155,1
13.00115,2.0228,113.2227,985.5273,0.2199,1.892155,1
13.20026,1.9604,113.2227,985.5273,0.2452,1.892155,1
13.40161,2.1325,113.2227,985.5273,0.2285,1.892155,1
13.60142,2.2109,113.2227,985.5273,0.2541,1.892155,1
13.80085,2.1896,113.2227,985.5273,0.2395,1.892155,1
15.00189,2.7083,113.2227,985.543,0.471,1.89517,2
15.20107,2.0285,113.2227,985.543,0.5908,1.89517,2
15.40015,1.9644,113.2227,985.543,0.4511,1.89517,2
15.60213,3.8579,113.2227,985.543,0.6558,1.89517,2
15.80118,3.1483,113.2227,985.543,0.6813,1.89517,2
16.00189,3.2429,113.2227,985.543,1.8923,1.89517,2
16.20298,4.2325,113.2227,985.543,0.6563,1.89517,2
16.40304,3.0977,113.2227,985.543,0.6831,1.89517,2
16.6023,3.3191,113.2227,985.543,0.6912,1.89517,2
16.80252,3.5204,113.2227,985.543,0.69,1.89517,2
17.00139,3.9738,113.2227,985.543,0.6802,1.89517,2
17.20231,3.1386,113.2227,985.543,0.6844,1.89517,2
17.40277,3.8329,113.2227,985.543,0.6931,1.89517,2
17.60003,2.039,113.2227,985.543,0.4296,1.89517,2
17.80026,1.9773,113.2227,985.543,0.4508,1.89517,2
18.00179,2.3227,113.2227,985.543,0.4711,1.89517,2
18.20004,2.0732,113.2227,985.543,0.4616,1.89517,2
18.40109,2.1248,113.2227,985.543,0.4581,1.89517,2
18.60165,6.3548,113.2227,985.543,0.6446,1.89517,2
18.80067,3.0446,113.2227,985.543,0.921,1.89517,2
19.00172,3.436,113.2227,985.543,2.1504,1.89517,2
19.20099,3.4694,113.2227,985.543,0.7089,1.89517,2
19.40061,2.7208,113.2227,985.543,0.8443,1.89517,2
19.60008,1.9656,113.2227,985.543,0.4555,1.89517,2
19.80232,2.9852,113.2227,985.543,0.451,1.89517,2
20.00225,2.229,113.2227,985.543,0.7088,1.89517,2
20.20219,2.3048,113.2227,985.543,0.4747,1.89517,2
20.40137,2.0453,113.2227,985.543,0.4476,1.89517,2
20.60193,1.9388,113.2227,985.543,0.4551,1.89517,2
20.80092,2.0474,113.2227,985.543,0.4782,1.89517,2
22.00165,1.8614,113.2227,985.5781,0.7321,1.898186,3
22.20121,2.0521,113.2227,985.5781,0.7013,1.898186,3
22.40096,1.8165,113.2227,985.5781,0.7236,1.898186,3
22.60116,1.8375,113.2227,985.5781,0.724,1.898186,3
22.80165,1.8541,113.2227,985.5781,0.707,1.898186,3
23.00165,1.9174,113.2227,985.5781,1.1037,1.898186,3
23.20027,1.9559,113.2227,985.5781,0.697,1.898186,3
23.60126,1.9336,113.2227,985.5781,0.7079,1.898186,3
23.80035,2.0907,113.2227,985.5781,0.6961,1.898186,3
24.00056,2.158,113.2227,985.5781,0.842,1.898186,3
24.20136,1.9545,113.2227,985.5781,0.6842,1.898186,3
24.40184,1.9168,113.2227,985.5781,0.6938,1.898186,3
24.60191,3.022,113.2227,985.5781,1.1474,1.898186,3
24.8012,3.0585,113.2227,985.5781,1.3443,1.898186,3
25.00071,3.3577,113.2227,985.5781,1.0297,1.898186,3
25.20135,3.1646,113.2227,985.5781,1.5481,1.898186,3
25.4026,2.813,113.2227,985.5781,1.0074,1.898186,3
25.60169,3.174,113.2227,985.5781,1.1881,1.898186,3
25.80137,2.298,113.2227,985.5781,0.6993,1.898186,3
26.00472,5.1688,113.2227,985.5781,1.9227,1.898186,3
26.20096,2.0684,113.2227,985.5781,0.677,1.898186,3
26.40016,2.1293,113.2227,985.5781,0.6791,1.898186,3
26.60032,1.9254,113.2227,985.5781,0.7514,1.898186,3
26.80192,2.0183,113.2227,985.5781,0.6709,1.898186,3
27.00123,1.9883,113.2227,985.5781,0.8789,1.898186,3
27.2005,2.154,113.2227,985.5781,0.6884,1.898186,3
27.40054,1.8585,113.2227,985.5781,0.7309,1.898186,3
27.60057,1.9124,113.2227,985.5781,0.6949,1.898186,3
27.80026,1.9435,113.2227,985.5781,0.6832,1.898186,3
28.00134,1.8703,113.2227,985.6406,0.8926,1.898186,3
29.20117,1.9318,113.2227,985.6406,0.917,1.901201,4
29.40004,2.0265,113.2227,985.6406,0.9526,1.901201,4
29.60109,1.8159,113.2227,985.6406,0.9282,1.901201,4
29.8008,2.0572,113.2227,985.6406,1.0278,1.901201,4
30.00093,2.1383,113.2227,985.6406,0.9867,1.901201,4
30.20157,2.0027,113.2227,985.6406,0.9501,1.901201,4
30.40058,2.0847,113.2227,985.6406,1.4343,1.901201,4
30.60036,1.9615,113.2227,985.6406,0.9481,1.901201,4
30.80124,3.1559,113.2227,985.6406,1.5078,1.901201,4
31.00142,3.3458,113.2227,985.6406,1.7206,1.901201,4
31.20101,3.1184,113.2227,985.6406,1.3645,1.901201,4
31.40027,3.6549,113.2227,985.6406,1.5012,1.901201,4
31.60151,5.2666,113.2227,985.6406,1.4038,1.901201,4
31.80023,3.5155,113.2227,985.6406,1.4634,1.901201,4
32.00146,3.1936,113.2227,985.6406,1.4886,1.901201,4
32.20103,3.5768,113.2227,985.6406,1.7306,1.901201,4
32.40302,3.1763,113.2227,985.6445,1.4612,1.901201,4
32.60007,4.5088,113.2227,985.6445,1.7022,1.901201,4
32.80128,4.7921,113.2227,985.6445,1.4773,1.901201,4
33.00108,3.1336,113.2227,985.6445,2.7531,1.901201,4
33.20142,2.8118,113.2227,985.6445,1.4497,1.901201,4
33.40015,6.8192,113.2227,985.6445,1.5498,1.901201,4
33.60051,3.7284,113.2227,985.6445,1.4584,1.901201,4
33.8002,2.1007,113.2227,985.6445,1.0053,1.901201,4
34.00177,1.9478,113.2227,985.6445,0.9222,1.901201,4
34.20025,2.2885,113.2227,985.6445,0.9437,1.901201,4
34.40035,2.0593,113.2227,985.6445,1.0841,1.901201,4
34.6005,2.0145,113.2227,985.6445,1.0623,1.901201,4
34.80127,2.8245,113.2227,985.6445,1.0189,1.901201,4
35.00091,1.8495,113.2227,985.6445,0.9676,1.901201,4
36.20125,2.2688,113.2227,985.6719,1.2429,1.904217,5
36.40178,2.0923,113.2227,985.6719,1.2703,1.904217,5
36.60194,2.4549,113.2227,985.6719,1.2395,1.904217,5
36.80106,2.9749,113.2227,985.6719,2.0254,1.904217,5
37.00179,3.3415,113.2227,985.6719,2.0012,1.904217,5
37.20127,2.5098,113.2227,985.7734,1.111,1.904217,5
37.40174,1.9069,113.2227,985.7734,1.1493,1.904217,5
37.60123,2.013,113.2227,985.7734,1.1525,1.904217,5
37.80075,2.8671,113.2227,985.7734,1.1286,1.904217,5
38.00555,2.9858,113.2227,985.7734,1.8851,1.904217,5
38.2028,3.4978,113.2227,985.7734,1.8103,1.904217,5
38.40002,2.9563,113.2227,985.7734,1.8186,1.904217,5
38.60291,3.7437,113.2227,985.7734,1.776,1.904217,5
38.80217,3.4046,113.2227,985.7734,2.0194,1.904217,5
39.00191,3.0705,113.2227,985.7734,8.0284,1.904217,5
