time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
1.001125,2.1078,113.2227,975.9453,0,1.724531,0
1.201874,2.0751,113.2227,975.9531,0,1.724531,0
1.400135,2.0999,113.2227,975.9531,0,1.724531,0
1.600162,2.4258,113.2227,975.957,0,1.724531,0
1.800048,2.1467,113.2227,975.957,0,1.724531,0
2.002062,2.3394,113.2227,975.957,0,1.724531,0
2.210289,10.7362,113.2227,975.957,0,1.724531,0
2.402545,3.4475,113.2227,975.957,0,1.724531,0
2.602499,3.474,113.2227,975.8633,0,1.724531,0
2.800846,2.9701,113.2227,975.8633,0,1.724531,0
3.00264,4.666,113.2227,975.8633,0,1.724531,0
3.209854,10.7475,113.2227,975.8633,0,1.724531,0
3.400674,3.1715,113.2227,975.8633,0,1.724531,0
3.604158,6.7373,113.2227,975.8633,0,1.724531,0
3.803207,3.2425,113.2227,975.8633,0,1.724531,0
4.001868,3.6094,113.2227,975.8633,0,1.724531,0
4.202421,3.4089,113.2227,975.8633,0,1.724531,0
4.403679,3.8355,113.2227,975.8633,0,1.724531,0
4.602301,4.7997,113.2227,975.8633,0,1.724531,0
4.803067,3.3688,113.2227,975.8633,0,1.724531,0
5.001726,2.875,113.2227,975.8633,0,1.724531,0
5.201736,3.0195,113.2227,975.8633,0,1.724531,0
5.401224,1.927,113.2227,975.8633,0,1.724531,0
5.600712,2.0183,113.2227,975.8633,0,1.724531,0
5.80128,1.8999,113.2227,975.8633,0,1.724531,0
6.000157,2.1393,113.2227,975.4883,0,1.724531,0
6.20041,2.579,113.2227,973.8633,0,1.724531,0
6.400568,1.9899,113.2227,973.8633,0,1.724531,0
6.60021,2.04,113.2227,973.8633,0,1.724531,0
6.80195,2.0599,113.2227,973.8633,0,1.724531,0
8.000481,4.0481,113.2227,974.5391,0.6292,1.729774,1
8.20069,1.8964,113.2227,974.543,0.6102,1.729774,1
8.400182,2.1447,113.2227,974.543,0.6725,1.729774,1
8.60064,1.9952,113.2227,974.543,0.6122,1.729774,1
