time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
163.0672,14.1613,1.675781,299.8477,1.8596,1.817036,1
163.2624,14.06156,1.675781,299.8477,1.7694,1.817036,1
163.4702,12.97771,1.675781,299.8477,1.7656,1.817036,1
163.6646,14.62562,1.675781,299.8477,1.8264,1.817036,1
163.8611,16.24823,1.675781,299.8477,1.9368,1.817036,1
165.0676,14.04135,1.675781,299.7969,2.8046,1.819921,2
165.2632,15.27745,1.675781,299.7969,2.6859,1.819921,2
165.471,14.21505,1.675781,299.7969,2.7516,1.819921,2
165.6641,14.72349,1.675781,299.7969,2.8917,1.819921,2
165.8592,14.16292,1.675781,299.7969,2.5893,1.819921,2
167.0674,13.52068,1.675781,300.0859,3.5834,1.822807,3
167.2623,15.38594,1.675781,300.0859,3.4539,1.822807,3
167.4694,13.49224,1.675781,300.0859,3.8808,1.822807,3
167.6647,14.08313,1.675781,300.0859,4.3708,1.822807,3
167.8595,14.64927,1.675781,300.0859,3.6759,1.822807,3
169.0687,15.08406,1.675781,300.0273,4.0554,1.825693,4
169.2631,16.06255,1.675781,300.0273,4.1682,1.825693,4
169.4697,13.61708,1.675781,300.0273,4.4122,1.825693,4
169.6641,13.36839,1.675781,300.0273,4.3094,1.825693,4
169.8595,13.71615,1.675781,300.0273,4.1802,1.825693,4
171.0679,14.54219,1.675781,300.3281,5.2759,1.828579,5
171.2622,15.61849,1.675781,300.3281,5.0634,1.828579,5
171.4696,13.46672,1.675781,300.3281,5.1419,1.828579,5
171.6655,15.98932,1.675781,300.3281,5.4589,1.828579,5
171.8591,14.68818,1.675781,300.3281,5.4449,1.828579,5
173.0675,12.46182,1.675781,300.4492,6.1297,1.831465,6
173.2638,16.47099,1.675781,300.4492,5.5982,1.831465,6
173.4702,13.47005,1.675781,300.4492,5.6895,1.831465,6
173.6642,13.79042,1.675781,300.4492,5.5589,1.831465,6
173.8597,14.36323,1.675781,300.4492,5.6966,1.831465,6
175.068,14.11604,1.675781,300.8164,6.4508,1.834351,7
175.2628,15.38068,1.675781,300.8164,6.5477,1.834351,7
175.47,14.54729,1.675781,300.8164,6.4881,1.834351,7
175.6648,15.75437,1.675781,300.8164,6.5393,1.834351,7
175.8589,13.71578,1.675781,300.8164,6.4282,1.834351,7
177.066,12.71187,1.457031,300.8828,7.7009,1.837236,8
177.2627,16.00328,1.457031,300.8164,7.616,1.837236,8
177.4699,14.08912,1.457031,300.8164,7.5928,1.837236,8
177.6642,15.29463,1.457031,300.8594,7.4129,1.837236,8
177.8582,14.08302,1.457031,300.8594,7.4038,1.837236,8
179.0668,14.26026,1.457031,300.9805,8.5918,1.840122,9
179.2637,16.9801,1.457031,300.9805,9.1011,1.840122,9
179.4775,20.30734,1.457031,300.9805,9.1062,1.840122,9
179.664,14.44073,1.457031,300.5078,8.5458,1.840122,9
179.8597,14.34604,1.457031,300.5078,9.2193,1.840122,9
181.0677,13.73318,1.457031,300.6445,9.5579,1.843008,10
181.2622,15.06911,1.457031,300.5977,9.3822,1.843008,10
181.4706,14.49719,1.457031,300.6211,10.1315,1.843008,10
181.6661,16.42219,1.457031,300.6211,9.733,1.843008,10
181.8599,15.38146,1.457031,300.6211,9.5016,1.843008,10
