time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
245.0634,14.34667,2.003906,385.5273,0.548021,1.595787,0
245.2705,14.34281,2.003906,385.5273,0.755937,1.595787,0
245.4652,14.39224,2.003906,385.5273,0.504844,1.595787,0
245.6738,13.85521,2.003906,385.5273,0.525313,1.595787,0
245.8688,15.15057,2.003906,385.5273,0.527708,1.595787,0
247.064,13.98182,2.003906,387.0547,0.872552,1.600779,1
247.2717,14.56437,2.003906,387.0664,0.005261,1.600779,1
247.4662,14.90599,2.003906,387.0898,0.362344,1.600779,1
247.6745,14.12115,2.003906,387.0898,0.004376,1.600779,1
247.8688,15.40162,2.003906,387.0469,1.098698,1.600779,1
249.0621,14.46656,2.003906,388.4453,0.007135,1.60577,2
249.271,14.94641,2.003906,388.4453,0.00526,1.60577,2
249.4653,15.08635,2.003906,388.4453,2.835,1.60577,2
249.6743,14.79661,2.003906,388.4453,0.005416,1.60577,2
249.8685,14.68047,2.003906,388.4453,0.00552,1.60577,2
251.0613,13.30771,2.003906,389.7227,1.935677,1.610762,3
251.2712,14.9087,2.003906,389.7227,1.783437,1.610762,3
251.4655,14.51089,2.003906,389.7188,1.861303,1.610762,3
251.6734,14.58734,2.003906,389.7148,1.761302,1.610762,3
251.869,16.2776,2.003906,389.7148,0.005572,1.610762,3
253.075,14.94984,2.003906,391.4805,2.151146,1.615753,4
253.27,14.31552,2.003906,391.4805,2.045312,1.615753,4
253.4651,15.57489,2.003906,391.4805,2.050419,1.615753,4
253.6721,14.07938,2.003906,391.457,2.878647,1.615753,4
253.8663,14.64078,2.003906,391.5,2.056772,1.615753,4
255.0616,13.58,2.003906,392.7578,2.641718,1.620745,5
255.2701,14.02698,2.003906,392.7578,0.010885,1.620745,5
255.4646,14.52057,2.003906,392.7578,0.007605,1.620745,5
255.6717,13.87984,2.003906,392.7578,0.004792,1.620745,5
255.8672,14.21026,2.003906,392.7578,0.006561,1.620745,5
257.0752,14.25156,2.003906,394.043,3.088854,1.625736,6
257.2694,13.05516,2.003906,394.043,0.009167,1.625736,6
257.4662,16.53646,2.003906,394.043,0.006563,1.625736,6
257.6728,15.61448,2.003906,394.043,2.912448,1.625736,6
257.8669,14.11776,2.003906,394.043,0.007812,1.625736,6
259.0616,14.13682,1.421875,395.3203,3.525782,1.630728,7
259.2698,14.01287,1.421875,395.3203,3.541198,1.630728,7
259.4643,13.54651,1.421875,395.3203,0.004739,1.630728,7
259.6733,14.75099,1.421875,395.3203,3.327969,1.630728,7
259.8668,14.38344,1.421875,395.3203,3.362343,1.630728,7
261.0756,14.55531,1.421875,396.6328,3.93224,1.635719,8
261.2698,15.13526,1.421875,396.6289,3.978854,1.635719,8
261.4662,16.43484,1.421875,396.6211,3.77729,1.635719,8
261.6727,13.72151,1.421875,396.5977,4.310313,1.635719,8
261.8661,14.2876,1.421875,396.5977,2.113593,1.635719,8
263.0613,14.15563,1.421875,397.8359,4.085208,1.640711,9
263.269,11.10609,1.421875,397.8359,0.582136,1.640711,9
263.4636,14.36245,1.421875,397.8359,3.538125,1.640711,9
263.6732,14.8812,1.421875,397.8359,0.004844,1.640711,9
263.867,14.6288,1.421875,397.8359,0.102969,1.640711,9
