time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
303.0672,14.27958,1.675781,305.1992,10.9204,1.840122,9
303.2632,15.69886,1.675781,305.2734,10.5401,1.840122,9
303.4704,14.71187,1.675781,305.2656,10.9187,1.840122,9
303.6642,14.45349,1.675781,305.2461,10.7002,1.840122,9
303.8585,13.8825,1.675781,305.2383,10.7144,1.840122,9
305.0678,13.23162,1.675781,305.1523,10.5078,1.837236,8
305.2622,14.38385,1.675781,305.1523,9.6289,1.837236,8
305.4717,15.48229,1.675781,305.1523,9.7321,1.837236,8
305.6644,13.56974,1.675781,305.1641,10.3296,1.837236,8
305.8592,14.10146,1.675781,305.1641,10.1469,1.837236,8
307.0676,14.23094,1.675781,305.168,8.6342,1.834351,7
307.2638,15.25734,1.675781,305.1211,9.7407,1.834351,7
307.4713,14.92797,1.675781,305.1211,8.5597,1.834351,7
307.6649,12.61463,1.675781,305.1211,8.7652,1.834351,7
307.8602,14.29141,1.675781,305.1211,8.3791,1.834351,7
309.0675,13.92292,1.675781,305.0352,7.704,1.831465,6
309.2622,14.65078,1.675781,305.0352,7.6043,1.831465,6
309.4715,14.04083,1.675781,305.0352,7.5136,1.831465,6
309.665,13.67672,1.675781,305.0352,7.4527,1.831465,6
309.8595,14.29521,1.675781,305.0352,7.4339,1.831465,6
311.069,14.05318,1.675781,304.9805,6.6551,1.828579,5
311.2633,14.93391,1.675781,304.9805,6.7515,1.828579,5
311.4704,14.28167,1.675781,304.9805,6.6516,1.828579,5
311.6665,16.67755,1.675781,304.9805,6.3849,1.828579,5
311.859,13.79115,1.675781,305.0195,6.7871,1.828579,5
313.0686,14.44193,1.675781,304.9336,5.4713,1.825693,4
313.2641,15.78182,1.675781,304.9336,5.5465,1.825693,4
313.472,14.92703,1.675781,304.9336,5.63,1.825693,4
313.665,13.46047,1.675781,304.9336,5.8659,1.825693,4
313.8586,14.10401,1.675781,304.9297,5.5976,1.825693,4
315.068,13.80396,1.675781,304.9023,4.8601,1.822807,3
315.2621,14.75641,1.675781,304.9023,5.6245,1.822807,3
315.4711,14.07385,1.675781,304.9023,4.7975,1.822807,3
315.665,14.21937,1.675781,304.9023,4.8895,1.822807,3
315.86,15.12786,1.675781,304.9023,5.82,1.822807,3
317.068,14.33146,1.429688,304.6328,4.3146,1.819921,2
317.2636,15.76505,1.429688,304.6328,4.0774,1.819921,2
317.4707,14.52989,1.429688,304.6328,3.9509,1.819921,2
317.6646,14.33151,1.429688,304.6328,3.9951,1.819921,2
317.8587,13.47755,1.429688,304.6328,3.9524,1.819921,2
319.0704,15.83661,1.429688,304.5664,3.1473,1.817036,1
319.2648,16.10323,1.429688,304.5664,3.1615,1.817036,1
319.4716,15.02594,1.429688,304.5664,4.5553,1.817036,1
319.6651,13.53875,1.429688,304.5664,2.9669,1.817036,1
319.8602,14.79823,1.429688,304.5664,3.2821,1.817036,1
321.0686,13.70339,1.429688,304.7383,2.3569,1.81415,0
321.2635,15.17542,1.429688,304.7383,2.1488,1.81415,0
321.4734,16.07463,1.429688,304.7383,2.4227,1.81415,0
321.6655,13.37474,1.429688,304.7383,2.3058,1.81415,0
321.8603,14.12953,1.429688,304.7383,3.1102,1.81415,0
