time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
163.0691,14.95661,2.003906,355.9102,0.485052,1.551567,1
163.2656,16.76245,2.003906,355.8828,0.556301,1.551567,1
163.4717,12.59151,2.003906,355.8828,0.471093,1.551567,1
163.6665,14.88047,2.003906,355.8828,0.478178,1.551567,1
163.8743,13.62594,2.003906,355.8828,0.010573,1.551567,1
165.0689,14.14688,2.003906,357.1836,0.005364,1.556559,2
165.2648,16.05922,2.003906,357.1836,0.899322,1.556559,2
165.4729,13.92833,2.003906,357.1836,0.008333,1.556559,2
165.6677,15.14781,2.003906,357.1836,0.004895,1.556559,2
165.8743,13.14859,2.003906,357.1836,1.11099,1.556559,2
167.0692,13.80557,2.003906,358.5313,0.004792,1.56155,3
167.264,14.83286,2.003906,358.7461,0.008177,1.56155,3
167.4703,14.53016,2.003906,358.9141,1.302084,1.56155,3
167.6659,15.77125,2.003906,358.9297,1.24026,1.56155,3
167.8729,14.0988,2.003906,358.9531,1.393385,1.56155,3
169.0683,14.09891,2.003906,360.25,1.649063,1.566542,4
169.2641,15.2787,2.003906,360.25,1.691978,1.566542,4
169.4711,13.9374,2.003906,360.3242,1.885625,1.566542,4
169.666,15.18276,2.003906,360.3242,1.611094,1.566542,4
169.875,14.59828,2.003906,360.3398,0.005313,1.566542,4
171.0686,14.71385,2.003906,361.8359,2.072137,1.571533,5
171.2638,14.77641,2.003906,361.8359,2.212448,1.571533,5
171.4728,16.3787,2.003906,361.8359,2.863489,1.571533,5
171.668,16.90182,2.003906,361.8359,2.49349,1.571533,5
171.874,13.29703,2.003906,361.8359,0.005261,1.571533,5
173.0685,14.82958,2.003906,363.1016,3.324428,1.576525,6
173.2641,15.4437,2.003906,363.1016,1.273802,1.576525,6
173.4716,14.57714,2.003906,363.1016,0.004166,1.576525,6
173.6655,15.02833,2.003906,363.0859,0.004636,1.576525,6
173.8753,15.2475,2.003906,363.0859,2.428125,1.576525,6
175.0692,9.434948,2.003906,364.4961,0.002135,1.581516,7
175.2635,15.06875,2.003906,364.457,3.427916,1.581516,7
175.4714,14.15349,2.003906,364.4922,3.002397,1.581516,7
175.6659,14.67417,2.003906,364.4844,0.005574,1.581516,7
175.8729,13.41432,2.003906,364.4844,3.129166,1.581516,7
177.0689,13.67672,1.414063,365.5156,2.241719,1.586508,8
177.2652,17.27083,1.414063,365.543,3.464844,1.586508,8
177.471,14.92635,1.414063,365.6836,2.887967,1.586508,8
177.6655,15.73656,1.414063,365.6836,1.882344,1.586508,8
177.8738,14.42615,1.414063,365.6758,3.329791,1.586508,8
179.0686,15.67198,1.414063,367.2188,4.272864,1.591499,9
179.2653,16.58516,1.414063,367.2188,3.859531,1.591499,9
179.4712,15.90828,1.414063,367.2305,4.253542,1.591499,9
179.665,15.83323,1.414063,367.2383,0.036823,1.591499,9
179.8718,13.76729,1.414063,367.2383,0.005312,1.591499,9
181.0683,15.23167,1.421875,370.082,4.613072,1.601482,10
181.2627,14.18818,1.421875,370.0938,0.004583,1.601482,10
181.4697,13.85599,1.421875,370.0859,0.00599,1.601482,10
181.6645,14.98641,1.421875,370.0977,0.006979,1.601482,10
181.8728,14.69323,1.421875,370.1992,0.001823,1.601482,10
182.0663,15.1187,1.421875,370.1758,4.457395,1.601482,10
182.2617,13.93609,1.421875,370.1367,0.008384,1.601482,10
182.4703,16.01557,1.421875,370.2031,4.555625,1.601482,10
182.6634,15.28068,1.421875,370.2188,4.601303,1.601482,10
182.8707,14.23812,1.421875,370.2188,4.394062,1.601482,10
