time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
3.051159,13.99328,2.007813,289.332,0.1341,1.694415,0
3.25939,13.87677,2.007813,289.332,0.1334,1.694415,0
3.455344,15.0137,2.007813,289.582,0.1556,1.694415,0
3.663204,13.68328,2.007813,289.6445,0.1283,1.694415,0
3.857424,14.14969,2.007813,290.0078,0.1292,1.694415,0
4.052391,14.60365,2.007813,290.2383,0.1671,1.694415,0
4.269772,161.5216,2.007813,294.1523,0.1292,1.694415,0
4.458847,16.06302,2.007813,294.1953,0.1282,1.694415,0
4.661461,14.56182,2.007813,293.3984,0.1305,1.694415,0
4.856498,14.32917,2.007813,292.0898,0.1277,1.694415,0
5.064652,14.0462,2.007813,292.0898,0.1562,1.694415,0
5.258968,14.76161,2.007813,292.4805,0.1754,1.694415,0
5.4535,14.31812,2.007813,292.6719,0.1282,1.694415,0
5.662556,14.29505,2.007813,292.8398,0.1709,1.694415,0
5.857713,14.19193,2.007813,292.8672,0.1281,1.694415,0
6.051847,13.94292,2.007813,293.1055,0.1316,1.694415,0
6.260345,14.5551,2.007813,293.1641,0.1291,1.694415,0
6.45434,13.56396,2.007813,293.5039,0.1339,1.694415,0
6.66346,14.24156,2.007813,293.6719,0.1376,1.694415,0
6.857555,14.84526,2.007813,293.6875,0.1279,1.694415,0
7.052122,13.9037,2.007813,293.9805,0.1267,1.694415,0
7.26077,14.55437,2.007813,294.1641,0.14,1.694415,0
7.456375,15.19615,2.007813,294.293,0.1532,1.694415,0
7.663073,13.31557,2.007813,294.4063,0.1286,1.694415,0
7.859098,15.20964,2.007813,294.7305,0.1272,1.694415,0
8.052997,14.27,2.007813,294.8789,0.1293,1.694415,0
8.262403,15.09349,2.007813,294.9648,0.1404,1.694415,0
8.455205,14.25422,2.007813,294.9648,0.1291,1.694415,0
8.66286,13.67583,2.007813,294.9648,0.1283,1.694415,0
8.85863,14.95255,2.007813,295.2266,0.1258,1.694415,0
12.05128,14.34375,2.007813,296.7891,0.1596,1.782877,1
