time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
1.065001,14.23063,2.007813,289.2695,0.1304,1.694415,0
1.273308,13.93974,2.007813,289.2734,0.1298,1.694415,0
1.468929,14.8712,2.007813,289.6094,0.1282,1.694415,0
1.675995,14.03396,2.007813,289.6211,0.1892,1.694415,0
1.871727,13.80562,2.007813,289.9102,0.1254,1.694415,0
2.066079,14.02854,2.007813,290.1602,0.1599,1.694415,0
2.274433,13.47213,2.007813,290.2109,0.1274,1.694415,0
2.470044,14.94594,2.007813,290.2109,0.1288,1.694415,0
2.663029,14.0625,2.007813,290.6055,0.1275,1.694415,0
2.871973,14.4476,2.007813,290.6055,0.1297,1.694415,0
3.066125,14.6675,2.007813,290.9336,0.1348,1.694415,0
3.274225,13.94208,2.007813,291.1602,0.1286,1.694415,0
3.469293,13.50776,2.007813,291.2773,0.1275,1.694415,0
3.663909,14.22958,2.007813,291.6172,0.1276,1.694415,0
3.872359,14.51302,2.007813,291.7148,0.1285,1.694415,0
4.066254,13.96661,2.007813,291.7578,0.1738,1.694415,0
4.274704,13.75839,2.007813,292.0117,0.1285,1.694415,0
4.471689,15.16,2.007813,292.0117,0.1282,1.694415,0
4.664422,14.16364,2.007813,292.3203,0.1311,1.694415,0
4.873253,15.40484,2.007813,292.4727,0.1281,1.694415,0
5.066415,13.56411,2.007813,292.4844,0.1261,1.694415,0
5.274619,13.7324,2.007813,292.7227,0.1504,1.694415,0
5.471934,15.37286,2.007813,293.0938,0.1463,1.694415,0
5.663301,13.83219,2.007813,293.2188,0.1297,1.694415,0
5.874764,16.76047,2.007813,293.332,0.1268,1.694415,0
6.068893,16.4425,2.007813,293.3906,0.1279,1.694415,0
6.263505,14.80146,2.007813,297.6445,0.1307,1.694415,0
6.474974,14.35453,2.007813,297.0586,0.1337,1.694415,0
6.675283,14.02276,2.007813,295.7617,0.3214,1.694415,0
6.871903,14.93266,2.007813,295.7617,0.1312,1.694415,0
8.066276,13.99792,2.007813,297.9141,0.5025,1.785763,1
8.274655,13.76302,2.007813,298.1367,0.5767,1.785763,1
