time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
0.9946086,0,2.003906,269.6172,0,1.243269,0
1.203513,13.91641,2.003906,270.0195,0,1.243269,0
1.398872,12.43818,2.003906,270.0195,0,1.243269,0
1.593636,13.46906,2.003906,270.2852,0,1.243269,0
1.801931,12.88776,2.003906,270.3789,0,1.243269,0
1.9977,14.16313,2.003906,270.6289,0,1.243269,0
2.207218,14.49198,2.003906,270.8828,0,1.243269,0
2.397541,13.57432,2.003906,270.9688,0,1.243269,0
2.59286,13.3575,2.003906,270.9688,0,1.243269,0
2.800589,13.01651,2.003906,271.2188,0,1.243269,0
2.996765,14.31542,2.003906,271.4102,0,1.243269,0
3.203261,13.11193,2.003906,271.6875,0,1.243269,0
3.400053,13.61635,2.003906,271.7188,0,1.243269,0
3.594475,13.94073,2.003906,271.7188,0,1.243269,0
3.802947,13.83849,2.003906,271.9844,0,1.243269,0
3.997419,13.83172,2.003906,272.1602,0,1.243269,0
4.204828,12.13828,2.003906,272.4414,0,1.243269,0
4.399637,13.79693,2.003906,272.582,0,1.243269,0
4.594228,14.37536,2.003906,272.4922,0,1.243269,0
4.80232,12.80766,2.003906,272.7422,0,1.243269,0
4.996988,14.03917,2.003906,272.8789,0,1.243269,0
5.193102,16.08682,2.003906,273.1406,0,1.243269,0
5.399191,13.89802,2.003906,273.1523,0,1.243269,0
5.59473,13.27922,2.003906,273.4648,0,1.243269,0
5.802697,13.71849,2.003906,273.6641,0,1.243269,0
5.997495,13.63786,2.003906,273.7891,0,1.243269,0
6.205649,12.98224,2.003906,274.0078,0,1.243269,0
6.400548,13.32875,2.003906,274.2695,0,1.243269,0
6.595347,14.34479,2.003906,274.5156,0,1.243269,0
6.803959,13.79333,2.003906,274.6797,0,1.243269,0
7.998184,13.39359,2.003906,286.8086,0.5771,1.436066,1
8.193061,15.72833,2.003906,286.8086,0.6298,1.436066,1
8.397401,14.22615,2.003906,286.9219,0.2904,1.436066,1
8.593279,14.40599,2.003906,287.0469,0.2921,1.436066,1
8.802003,12.6549,2.003906,287.0859,0.2845,1.436066,1
8.996979,14.38745,2.003906,287.0859,0.5896,1.436066,1
9.19387,15.69172,2.003906,287.0742,0.6482,1.436066,1
9.399737,13.90287,2.003906,287.1484,0.5892,1.436066,1
9.594749,13.98484,2.003906,287.1445,0.5837,1.436066,1
9.802604,12.08979,2.003906,287.1367,0.64,1.436066,1
9.997423,14.04589,2.003906,287.1367,0.5995,1.436066,1
10.20475,13.43891,2.003906,287.1367,0.6104,1.436066,1
10.39907,12.82781,2.003906,287.2383,0.3703,1.436066,1
10.5944,14.14708,2.003906,287.2383,0.2891,1.436066,1
10.80285,13.55333,2.003906,287.2617,0.2874,1.436066,1
10.99718,13.79385,2.003906,287.2617,0.6498,1.436066,1
11.19661,14.89016,2.003906,287.457,0.6601,1.436066,1
