time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
1.052047,15.49187,2.007813,287.6914,0.1293,1.694415,0
1.258973,13.42505,2.007813,287.7031,0.1285,1.694415,0
1.454012,13.80885,2.007813,288.0234,0.1289,1.694415,0
1.66226,14.04422,2.007813,288.2617,0.1682,1.694415,0
1.858538,13.68589,2.007813,288.2773,0.1232,1.694415,0
2.053055,14.51412,2.007813,288.4688,0.1267,1.694415,0
2.261439,12.4526,2.007813,288.6328,0.1268,1.694415,0
2.455292,13.73141,2.007813,288.6328,0.1721,1.694415,0
2.650463,13.8974,2.007813,289.0273,0.1273,1.694415,0
2.85766,13.15552,2.007813,289.3242,0.1229,1.694415,0
3.053139,14.6937,2.007813,289.332,0.1276,1.694415,0
3.261157,13.30214,2.007813,289.6445,0.1286,1.694415,0
3.455476,13.53094,2.007813,289.6445,0.1268,1.694415,0
3.651081,14.51094,2.007813,289.8984,0.1272,1.694415,0
3.857956,13.22838,2.007813,290.0625,0.1277,1.694415,0
4.052679,13.68547,2.007813,290.3477,0.1287,1.694415,0
4.261447,13.09099,2.007813,290.4727,0.1361,1.694415,0
4.456055,13.75813,2.007813,290.4727,0.128,1.694415,0
4.651231,14.1699,2.007813,290.7266,0.1343,1.694415,0
4.858709,13.61276,2.007813,290.918,0.1252,1.694415,0
5.053375,13.98193,2.007813,291.0977,0.1237,1.694415,0
5.262718,13.79104,2.007813,291.1016,0.1287,1.694415,0
5.457686,14.08516,2.007813,291.3672,0.1245,1.694415,0
5.651937,14.33865,2.007813,291.4883,0.1282,1.694415,0
5.859607,13.35896,2.007813,291.7656,0.1338,1.694415,0
6.05425,13.80568,2.007813,291.8594,0.1267,1.694415,0
6.262892,13.71604,2.007813,292.0625,0.1272,1.694415,0
6.457346,12.96839,2.007813,292.0742,0.1355,1.694415,0
6.652146,14.22213,2.007813,292.4414,0.127,1.694415,0
6.859272,13.35297,2.007813,292.6055,0.132,1.694415,0
8.054651,14.18365,2.007813,293.7617,0.5778,1.785763,1
8.262344,13.45193,2.007813,294.1406,0.5721,1.785763,1
8.456854,12.81151,2.007813,294.2461,0.5786,1.785763,1
8.659877,19.47578,2.007813,296.8477,0.6389,1.785763,1
8.856095,14.2712,2.007813,296.2617,0.6581,1.785763,1
9.052043,14.10766,2.007813,296.5977,0.5804,1.785763,1
9.260982,13.71057,2.007813,295.8281,0.5697,1.785763,1
9.45561,14.21516,2.007813,295.8281,0.6868,1.785763,1
9.650053,13.65677,2.007813,295.8281,0.6337,1.785763,1
9.858405,12.87292,2.007813,295.9609,0.5722,1.785763,1
10.05288,13.53703,2.007813,295.9609,0.6526,1.785763,1
10.26185,14.08714,2.007813,296.0195,0.6153,1.785763,1
10.45554,13.91599,2.007813,296.0195,0.6451,1.785763,1
10.65132,14.19609,2.007813,296.0195,0.5761,1.785763,1
10.85817,13.74469,2.007813,296.1797,0.5718,1.785763,1
11.05294,13.64521,2.007813,296.1914,0.5774,1.785763,1
11.26062,12.51068,2.007813,296.168,0.6955,1.785763,1
11.45562,13.68661,2.007813,296.168,0.5777,1.785763,1
11.65109,13.9212,2.007813,296.1875,0.6503,1.785763,1
11.85925,13.45083,2.007813,296.1836,0.5961,1.785763,1
12.05333,13.75401,2.007813,296.1953,0.5973,1.785763,1
12.26134,13.82276,2.007813,296.1953,0.8769,1.785763,1
12.45641,14.61599,2.007813,296.2617,0.5733,1.785763,1
12.64993,13.48021,2.007813,296.3203,0.6496,1.785763,1
12.85818,9.595364,2.007813,296.25,0.5764,1.785763,1
13.05272,13.8824,2.007813,296.25,0.6068,1.785763,1
13.26127,13.05078,2.007813,296.25,0.6117,1.785763,1
13.45672,14.43719,2.007813,296.2617,0.6366,1.785763,1
13.65123,14.1687,2.007813,296.2578,0.6116,1.785763,1
13.85879,12.86047,2.007813,296.2656,0.6286,1.785763,1
15.05332,14.01177,2.007813,296.6875,1.1193,1.788649,2
15.26225,13.0799,2.007813,296.6875,1.1092,1.788649,2
15.45651,13.76651,2.007813,296.6875,1.075,1.788649,2
15.65154,13.67234,2.007813,296.6875,1.0891,1.788649,2
15.85891,13.49672,2.007813,296.6875,1.0826,1.788649,2
16.05394,14.13589,2.007813,296.6875,1.1852,1.788649,2
16.26219,13.47182,2.007813,296.7383,1.0971,1.788649,2
16.45685,12.95891,2.007813,296.75,1.1333,1.788649,2
16.6512,13.5087,2.007813,296.75,1.115,1.788649,2
16.85964,13.88672,2.007813,296.75,1.148,1.788649,2
17.05433,14.19823,2.007813,296.75,2.0488,1.788649,2
17.26236,13.51005,2.007813,296.75,1.0696,1.788649,2
17.45609,14.16953,2.007813,296.75,1.0718,1.788649,2
17.65152,14.63875,2.007813,296.75,1.0723,1.788649,2
17.85874,12.73349,2.007813,296.75,1.0976,1.788649,2
18.05349,14.18677,2.007813,296.7578,1.1548,1.788649,2
18.26066,12.76323,2.007813,296.7578,1.87,1.788649,2
18.45642,14.45406,2.007813,296.7578,1.0793,1.788649,2
18.65065,12.79146,2.007813,296.7578,1.072,1.788649,2
18.85805,12.01036,2.007813,296.7578,1.1171,1.788649,2
19.0534,14.28302,2.007813,296.7578,1.3901,1.788649,2
19.26123,13.10771,2.007813,296.7852,1.1407,1.788649,2
19.45653,14.03641,2.007813,296.8164,1.0699,1.788649,2
19.65027,12.51297,2.007813,296.8164,1.0994,1.788649,2
19.8587,12.71505,2.007813,296.8164,1.1636,1.788649,2
20.05253,13.86422,2.007813,296.8164,1.113,1.788649,2
20.26093,12.8251,2.007813,296.8242,1.1007,1.788649,2
20.45626,12.91292,2.007813,296.8242,1.0974,1.788649,2
20.65117,14.19011,2.007813,296.8242,1.1043,1.788649,2
20.85886,13.0899,2.007813,296.8242,1.1897,1.788649,2
22.05349,13.99687,2.007813,297.0469,1.6255,1.791534,3
22.26184,13.25437,2.007813,297.0469,1.7251,1.791534,3
22.45601,13.61537,2.007813,297.0469,1.6249,1.791534,3
22.65156,14.84182,2.007813,297.0469,1.7194,1.791534,3
22.8585,12.72838,2.007813,297.0469,1.5732,1.791534,3
23.05412,14.28505,2.007813,297.0469,1.6013,1.791534,3
23.26121,12.92458,2.007813,297.0586,2.2734,1.791534,3
23.456,13.70708,2.007813,297.0586,1.6757,1.791534,3
23.6509,13.98224,2.007813,297.0586,1.5993,1.791534,3
23.85891,12.46328,2.007813,297.1484,1.6396,1.791534,3
24.0538,14.19318,2.007813,297.1484,1.7299,1.791534,3
24.2617,13.00875,2.007813,297.1602,1.605,1.791534,3
24.45653,14.17917,2.007813,297.168,1.5981,1.791534,3
24.6512,13.21781,2.007813,297.1602,1.6149,1.791534,3
24.85865,13.43177,2.007813,297.1602,1.6077,1.791534,3
25.05248,10.5125,2.007813,297.1602,1.6584,1.791534,3
25.26213,13.93776,2.007813,297.1602,1.6666,1.791534,3
25.45621,14.0575,2.007813,297.1602,1.6132,1.791534,3
25.65032,13.48698,2.007813,297.168,1.6128,1.791534,3
25.85834,12.94573,2.007813,297.168,1.6126,1.791534,3
26.05314,13.96516,2.007813,297.168,1.6631,1.791534,3
26.26102,13.24057,2.007813,297.1797,1.6143,1.791534,3
26.45615,13.8238,2.007813,297.1797,2.3323,1.791534,3
26.65058,14.08562,2.007813,297.1719,1.6464,1.791534,3
26.85797,13.0437,2.007813,297.1719,1.6336,1.791534,3
27.05315,13.88995,2.007813,297.1719,1.5617,1.791534,3
27.26123,13.04646,2.007813,297.1719,1.569,1.791534,3
27.45626,14.12104,2.007813,297.1719,1.8866,1.791534,3
27.66385,14.02901,2.007813,297.1719,1.578,1.791534,3
27.85803,12.79167,2.007813,297.1719,1.6684,1.791534,3
29.05306,13.4913,2.007813,297.3125,2.2164,1.79442,4
29.26095,12.68984,2.007813,297.3125,2.1232,1.79442,4
29.45592,14.20432,2.007813,297.3125,2.2204,1.79442,4
29.65014,13.17432,2.007813,297.3125,2.1786,1.79442,4
29.8584,12.9926,2.007813,297.3125,2.1665,1.79442,4
30.05312,14.00016,2.007813,297.3125,2.1927,1.79442,4
30.26106,13.10344,2.007813,297.3125,2.3105,1.79442,4
30.45645,13.85875,2.007813,297.3125,2.2417,1.79442,4
30.65057,13.91979,2.007813,297.3125,2.3129,1.79442,4
30.85846,13.0751,2.007813,297.3125,2.1573,1.79442,4
31.05361,14.04896,2.007813,297.3125,2.1706,1.79442,4
31.26126,13.34818,2.007813,297.3125,2.1797,1.79442,4
31.4568,15.73729,2.007813,297.3125,2.1456,1.79442,4
31.65084,14.07734,2.007813,297.3125,2.1601,1.79442,4
31.85858,12.97536,2.007813,297.332,2.3224,1.79442,4
32.05395,14.26682,2.007813,297.332,2.2098,1.79442,4
32.26122,13.45052,2.007813,297.332,2.1893,1.79442,4
32.45584,13.74755,2.007813,297.3477,2.2335,1.79442,4
32.65026,13.72109,2.007813,297.3477,2.293,1.79442,4
32.85873,13.83344,2.007813,297.3398,2.1537,1.79442,4
33.05272,13.92109,2.007813,297.3398,2.2191,1.79442,4
33.25999,13.09531,2.007813,297.3398,2.1486,1.79442,4
33.45584,14.89818,2.007813,297.3398,2.3524,1.79442,4
33.64995,13.30901,2.007813,297.5938,2.1762,1.79442,4
33.85767,12.53448,2.007813,297.8047,2.3354,1.79442,4
34.0536,14.69599,2.007813,297.8047,2.2869,1.79442,4
34.26126,12.39573,2.007813,297.8047,2.3377,1.79442,4
34.45694,16.11213,2.007813,297.8672,2.1346,1.79442,4
34.64994,13.78917,2.007813,297.8672,2.3561,1.79442,4
34.8574,13.34417,2.007813,297.875,2.7731,1.79442,4
36.0528,13.63042,2.007813,298.3672,2.9709,1.797306,5
36.26045,12.77266,2.007813,298.3672,2.8892,1.797306,5
36.45592,14.23229,2.007813,298.3945,2.7922,1.797306,5
36.65054,14.10787,2.007813,298.4141,2.7281,1.797306,5
36.85751,13.10052,2.007813,298.4141,3.8701,1.797306,5
37.05285,14.00344,2.007813,298.4141,2.7253,1.797306,5
37.26151,13.54432,2.007813,298.4297,2.7411,1.797306,5
37.45629,14.76937,2.007813,298.4297,2.7987,1.797306,5
37.65025,13.3901,2.007813,298.4336,3.4321,1.797306,5
37.85847,12.85953,2.007813,298.4336,2.704,1.797306,5
38.05301,12.7737,2.007813,298.4336,2.8333,1.797306,5
38.26128,13.38245,2.007813,298.4336,2.819,1.797306,5
38.4547,13.88943,2.007813,298.4336,2.7015,1.797306,5
38.65026,14.23042,2.007813,298.4336,2.8211,1.797306,5
38.85741,13.10719,2.007813,298.4336,2.7798,1.797306,5
39.05282,13.80135,2.007813,298.4336,2.8362,1.797306,5
39.26082,13.00057,2.007813,298.6289,2.815,1.797306,5
39.45586,13.92255,2.007813,298.6289,2.9332,1.797306,5
39.65065,14.4375,2.007813,298.6289,2.7216,1.797306,5
39.85762,12.87547,2.007813,298.6289,2.9907,1.797306,5
40.05275,13.98271,2.007813,298.6289,2.7086,1.797306,5
40.26046,13.11438,2.007813,298.7305,2.8767,1.797306,5
40.45589,14.69823,2.007813,298.7344,2.8449,1.797306,5
40.65036,13.5226,2.007813,298.7422,2.9355,1.797306,5
40.85807,12.37745,2.007813,298.7617,2.7399,1.797306,5
41.05251,13.92641,2.007813,298.7617,2.762,1.797306,5
41.26139,12.89781,2.007813,298.7734,3.668,1.797306,5
41.4552,14.35453,2.007813,298.793,2.8605,1.797306,5
41.65069,13.02922,2.007813,298.793,2.8065,1.797306,5
41.85799,12.92318,2.007813,298.8203,2.784,1.797306,5
43.05283,13.78745,2.007813,298.9648,3.6905,1.800192,6
43.26072,13.12802,2.007813,299.1836,3.53,1.800192,6
43.45588,15.26937,2.007813,299.1836,3.513,1.800192,6
43.64987,13.79781,2.007813,299.1836,3.647,1.800192,6
43.85748,13.08943,2.007813,299.1836,3.7474,1.800192,6
44.05252,13.54781,2.007813,299.1836,3.4786,1.800192,6
44.26064,12.97359,2.007813,299.1836,3.4517,1.800192,6
44.45559,14.60568,2.007813,299.1836,3.8619,1.800192,6
44.66387,14.09661,2.007813,299.1836,3.9663,1.800192,6
44.85716,12.85052,2.007813,299.1836,3.4599,1.800192,6
45.05268,13.90979,2.007813,299.4141,3.4499,1.800192,6
45.26001,12.78557,2.007813,299.4336,3.3513,1.800192,6
45.45524,12.78859,2.007813,299.4336,3.5742,1.800192,6
45.65107,14.35354,2.007813,299.4727,3.4802,1.800192,6
45.85769,12.73938,2.007813,299.4727,3.4449,1.800192,6
46.05243,13.59318,2.007813,299.4727,3.481,1.800192,6
46.26,12.99781,2.007813,299.4727,3.6183,1.800192,6
46.45681,15.23438,2.007813,299.4727,3.52,1.800192,6
46.66355,13.77328,2.007813,299.4727,3.8428,1.800192,6
46.85836,12.94635,2.007813,299.6094,3.4712,1.800192,6
47.05256,13.73354,2.007813,299.6094,3.608,1.800192,6
47.26023,12.95063,2.007813,299.6094,3.5637,1.800192,6
47.45552,14.65844,2.007813,299.6094,3.3915,1.800192,6
47.6633,13.81662,2.007813,299.6094,3.4765,1.800192,6
47.85813,12.38302,2.007813,299.6094,3.6118,1.800192,6
48.05426,15.57885,2.007813,299.6094,3.3982,1.800192,6
48.25978,12.86453,2.007813,299.6484,3.5027,1.800192,6
48.45586,15.01906,2.007813,299.6484,3.5947,1.800192,6
48.66375,14.37182,2.007813,299.6406,4.0374,1.800192,6
48.85673,12.49177,2.007813,299.6406,3.472,1.800192,6
50.0536,15.13964,2.007813,299.8945,4.0674,1.803078,7
50.26048,13.09844,2.007813,299.8945,5.1981,1.803078,7
50.45492,14.24662,2.007813,299.8945,4.1931,1.803078,7
50.66307,14.00354,2.007813,299.8945,4.1525,1.803078,7
50.8567,11.98016,2.007813,299.8945,4.2273,1.803078,7
51.05127,13.23141,2.007813,299.9219,4.5701,1.803078,7
51.25868,12.16625,2.007813,299.9219,4.1773,1.803078,7
51.45451,13.11917,2.007813,299.918,4.112,1.803078,7
51.66212,13.55974,2.007813,299.9141,4.0914,1.803078,7
51.85714,14.33089,2.007813,299.9141,4.3063,1.803078,7
52.05325,14.28693,2.007813,299.9141,4.5451,1.803078,7
52.25884,11.91037,2.007813,299.9141,4.1199,1.803078,7
52.45364,12.14979,2.007813,299.9141,4.1689,1.803078,7
52.6613,13.16021,2.007813,299.9219,4.2437,1.803078,7
52.85586,12.91016,2.007813,299.9219,4.2431,1.803078,7
53.05348,15.24479,2.007813,299.918,4.2999,1.803078,7
53.25913,12.29698,2.007813,299.9258,4.1208,1.803078,7
53.48607,156.458,2.007813,304.1523,5.1788,1.803078,7
53.66396,19.09771,2.007813,303.7617,4.1192,1.803078,7
53.85361,13.2037,2.007813,303.0586,4.1128,1.803078,7
54.06306,13.75437,2.007813,301.3594,4.2307,1.803078,7
54.25759,15.08703,2.007813,301.3594,4.1758,1.803078,7
