time,frame_t_ms,gc_mem_mb,system_mem_mb,audio_frame_t_ms,audio_memory_mb,sources
1.077763,13.53292,2.003906,282.5078,0,1.243269,0
1.273125,14.85083,2.003906,282.8516,0,1.243269,0
1.468058,14.18943,2.003906,282.8516,0,1.243269,0
1.674712,12.74099,2.003906,283.168,0,1.243269,0
1.871711,12.2962,2.003906,283.1914,0,1.243269,0
2.066431,14.39734,2.003906,283.4492,0,1.243269,0
2.275215,14.70453,2.003906,283.5156,0,1.243269,0
2.46943,14.44177,2.003906,283.7695,0,1.243269,0
2.677625,13.86948,2.003906,283.7695,0,1.243269,0
2.872384,14.06031,2.003906,284.0195,0,1.243269,0
3.067214,14.25068,2.003906,284.1875,0,1.243269,0
3.275918,14.58156,2.003906,284.4453,0,1.243269,0
3.469199,14.59766,2.003906,284.6211,0,1.243269,0
3.677579,13.29239,2.003906,284.8711,0,1.243269,0
3.872319,12.89292,2.003906,284.9727,0,1.243269,0
4.067882,14.54953,2.003906,285.2891,0,1.243269,0
4.276076,13.94229,2.003906,285.2656,0,1.243269,0
4.469828,13.90422,2.003906,285.5195,0,1.243269,0
4.678246,13.13271,2.003906,285.6523,0,1.243269,0
4.873005,13.20401,2.003906,285.6523,0,1.243269,0
5.068593,15.0076,2.003906,286.0898,0,1.243269,0
5.275896,13.58031,2.003906,286.0938,0,1.243269,0
5.470216,13.79771,2.003906,286.3281,0,1.243269,0
5.678617,13.05333,2.003906,286.4258,0,1.243269,0
5.874613,14.49167,2.003906,286.5313,0,1.243269,0
6.067914,14.87542,2.003906,286.7969,0,1.243269,0
6.275392,13.49865,2.003906,287.0039,0,1.243269,0
6.475437,18.03151,2.003906,287.2695,0,1.243269,0
6.67981,13.89651,2.003906,287.6211,0,1.243269,0
6.873954,13.84245,2.003906,287.7891,0,1.243269,0
8.067273,15.2999,2.003906,297.2031,0.4123,1.436066,1
8.274306,13.24063,2.003906,297.2031,0.4163,1.436066,1
8.469295,14.21833,2.003906,297.332,0.4284,1.436066,1
8.677366,13.53682,2.003906,297.332,0.4545,1.436066,1
8.87234,13.405,2.003906,297.5547,0.4425,1.436066,1
9.081132,15.06891,2.003906,297.5547,0.4975,1.436066,1
9.274512,12.24354,2.003906,297.625,0.4629,1.436066,1
9.469459,14.60453,2.003906,297.6797,0.4949,1.436066,1
9.675721,12.81734,2.003906,297.6797,0.4185,1.436066,1
9.869984,13.645,2.003906,297.6953,0.4148,1.436066,1
10.12539,155.4083,2.003906,302.1563,0.4581,1.436066,1
10.28719,22.31073,2.003906,300.957,0.4489,1.436066,1
10.46758,15.93526,2.003906,300.9648,0.5741,1.436066,1
10.67484,13.48167,2.003906,300.2656,0.4169,1.436066,1
10.87001,14.72042,2.003906,299.2969,0.4916,1.436066,1
11.07807,13.36281,2.003906,299.3008,0.4592,1.436066,1
11.27367,14.18172,2.003906,299.3164,0.4191,1.436066,1
11.46869,14.82839,2.003906,299.3281,0.6009,1.436066,1
11.67644,13.56516,2.003906,299.3438,0.4569,1.436066,1
11.87154,13.46323,2.003906,299.3477,0.5166,1.436066,1
12.0666,14.92891,2.003906,299.3555,0.4279,1.436066,1
12.27472,14.45641,2.003906,299.3555,0.4572,1.436066,1
12.46961,15.80505,2.003906,299.3633,0.4565,1.436066,1
12.67684,13.88667,2.003906,299.3984,0.4146,1.436066,1
12.87112,14.09979,2.003906,299.418,0.4853,1.436066,1
13.0796,13.54828,2.003906,299.4375,0.4116,1.436066,1
13.2739,12.98698,2.003906,299.4336,0.4372,1.436066,1
13.46868,14.50417,2.003906,299.4414,0.4299,1.436066,1
13.67716,13.21984,2.003906,299.4141,0.4116,1.436066,1
13.87366,13.71688,2.003906,299.4375,0.4631,1.436066,1
15.06768,15.05094,2.003906,300.8828,0.9986,1.441057,2
15.27711,13.66016,2.003906,300.8828,0.9472,1.441057,2
15.4691,13.90792,2.003906,300.9453,0.801,1.441057,2
15.67717,12.9238,2.003906,300.9336,0.8355,1.441057,2
15.87231,14.23661,2.003906,300.9336,0.8612,1.441057,2
16.06769,15.59646,2.003906,300.9805,0.8294,1.441057,2
16.27588,14.00802,2.003906,300.9805,0.8517,1.441057,2
16.47085,15.70083,2.003906,300.9805,0.8342,1.441057,2
16.67785,12.67188,2.003906,301,0.8334,1.441057,2
16.87292,13.98969,2.003906,301.0078,1.6276,1.441057,2
17.06734,14.5126,2.003906,301.0234,0.8493,1.441057,2
17.2755,13.55172,2.003906,301.0977,0.8141,1.441057,2
17.47014,12.81208,2.003906,301.0977,0.8791,1.441057,2
17.6776,13.00161,2.003906,301.0977,0.8632,1.441057,2
17.87277,13.38427,2.003906,301.0977,0.8085,1.441057,2
18.0683,15.28016,2.003906,301.0977,0.8077,1.441057,2
18.27605,13.97958,2.003906,301.0977,0.9095,1.441057,2
18.47029,14.89427,2.003906,301.1016,0.8536,1.441057,2
18.67842,13.66406,2.003906,301.1016,0.9112,1.441057,2
18.87295,13.61906,2.003906,301.1016,0.9023,1.441057,2
19.06765,14.23458,2.003906,301.1016,0.8103,1.441057,2
19.2762,13.92073,2.003906,301.1016,0.8564,1.441057,2
19.47142,15.81531,2.003906,301.1016,0.8907,1.441057,2
19.67742,12.4425,2.003906,301.1016,0.8724,1.441057,2
19.87234,13.31625,2.003906,301.1016,0.8813,1.441057,2
20.06758,14.66766,2.003906,301.1914,0.8449,1.441057,2
20.27578,14.12286,2.003906,301.1914,0.8464,1.441057,2
20.46986,14.12365,2.003906,301.1914,0.8672,1.441057,2
20.67745,11.72833,2.003906,301.1914,0.8224,1.441057,2
20.87201,13.18578,2.003906,301.1914,0.8076,1.441057,2
22.06723,15.15167,2.003906,302.4922,1.3093,1.446049,3
